ܥܬܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܥܬܰܕ,´ܶܬܥܬܶܕ,ܥܰܬܶܕ,ܐܶܬܥܰܬܰܕ,ܐܰܥܬܶܕ,ܐܶܬܬܰܥܬܰܕ
perfect,3FS,ܥܶܬܕܰܬ,ܐܶܬܥܰܬܕܰܬ,ܥܰܬܕܰܬ,ܐܶܬܥܰܬܕܰܬ,ܐܰܥܬܕܰܬ,ܐܶܬܬܰܥܬܕܰܬ
perfect,2MS,ܥܬܰܕܬ,ܐܶܬܥܬܶܕܬ,ܥܰܬܶܕܬ,ܐܶܬܥܰܬܰܕܬ,ܐܰܥܬܶܕܬ,ܐܶܬܬܰܥܬܰܕܬ
perfect,2FS,ܥܬܰܕܬܝ,ܐܶܬܥܬܶܕܬܝ,ܥܰܬܶܕܬܝ,ܐܶܬܥܰܬܰܕܬܝ,ܐܰܥܬܶܕܬܝ,ܐܶܬܰܥܬܰܕܬܝ
perfect,1S,ܥܶܬܕܶܬ,ܐܶܬܥܰܬܕܶܬ,ܥܰܬܕܶܬ,ܐܶܬܥܰܬܕܶܬ,ܐܰܥܬܕܶܬ,ܐܶܬܰܥܬܕܶܬ
perfect,3MP,ܥܬܰܕܘ,ܐܶܬܥܬܶܕܘ,ܥܰܬܶܕܘ,ܐܶܬܥܰܬܰܕܘ,ܐܰܥܬܶܕܘ,ܐܶܬܬܰܥܬܰܕܘ
perfect,3FP,ܥܬܰܕ̈ܝ,ܐܶܬܥܬܶܕ̈ܝ,ܥܰܬܶܕ̈ܝ,ܐܶܬܥܰܬܰܕ̈ܝ,ܐܰܥܬܶܕ̈ܝ,ܐܶܬܬܰܥܬܰܕ̈ܝ
perfect,2MP,ܥܬܰܕܬܽܘܢ,ܐܶܬܥܬܶܕܬܽܘܢ,ܥܰܬܶܕܬܽܘܢ,ܐܶܬܥܰܬܰܕܬܽܘܢ,ܐܰܥܬܶܕܬܽܘܢ,ܐܶܬܬܰܥܬܰܕܬܽܘܢ
perfect,2FP,ܥܬܰܕܬ̈ܶܝܢ,ܐܶܬܥܬܶܕ̈ܬܶܝܢ,ܥܰܬܶܕܬ̈ܶܝܢ,ܐܶܬܥܰܬܰܕ̈ܬܶܝܢ,ܐܰܥܬܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܥܬܰܕ̈ܬܶܝܢ
perfect,1P,ܥܬܰܕܢ,ܐܶܬܥܬܶܕܢ,ܥܰܬܶܕܢ,ܐܶܬܥܰܬܰܕܢ,ܐܰܥܬܶܕܢ,ܐܶܬܬܰܥܬܰܕܢ
imperfect,3MS,ܢܶܥܬܽܘܕ,ܢܶܬܥܬܶܕ,ܢܥܰܬܶܕ,ܢܶܬܥܰܬܰܕ,ܢܰܥܬܶܕ,ܢܶܬܬܰܥܬܰܕ
imperfect,3FS,ܬܶܥܬܽܘܕ,ܬܶܬܥܬܶܕ,ܬܥܰܬܶܕ,ܬܶܬܥܰܬܰܕ,ܬܰܥܬܶܕ,ܬܶܬܰܥܬܰܕܝ
imperfect,2MS,ܬܶܥܬܽܘܕ,ܬܶܬܥܬܶܕ,ܬܥܰܬܶܕ,ܬܶܬܥܰܬܰܕ,ܬܰܥܬܶܕ,ܬܶܬܰܥܬܰܕ
imperfect,2FS,ܬܶܥܬܕܺܝܢ,ܬܶܬܥܰܬܕܺܝܢ,ܬܥܰܬܕܺܝܢ,ܬܶܬܥܰܬܕܺܝܢ,ܬܰܥܬܕܺܝܢ,ܬܶܬܰܥܬܕܺܝܢ
imperfect,1S,ܐܶܥܬܽܘܕ,ܐܶܬܥܬܶܕ,ܐܶܥܰܬܶܕ,ܐܶܬܥܰܬܰܕ,ܐܰܥܬܶܕ,ܐܶܬܬܰܥܬܰܕ
imperfect,3MP,ܢܶܥܬܕܽܘܢ,ܢܶܬܥܰܬܕܽܘܢ,ܢܥܰܬܕܽܘܢ,ܢܶܬܥܰܬܕܽܘܢ,ܢܰܥܬܕܽܘܢ,ܢܶܬܬܰܥܬܕܽܘܢ
