ܦܠܓ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܠܰܓ,´ܶܬܦܠܶܓ,ܦܰܠܶܓ,ܐܶܬܦܰܠܰܓ,ܐܰܦܠܶܓ,ܐܶܬܬܰܦܠܰܓ
perfect,3FS,ܦܶܠܓܰܬ,ܐܶܬܦܰܠܓܰܬ,ܦܰܠܓܰܬ,ܐܶܬܦܰܠܓܰܬ,ܐܰܦܠܓܰܬ,ܐܶܬܬܰܦܠܓܰܬ
perfect,2MS,ܦܠܰܓܬ,ܐܶܬܦܠܶܓܬ,ܦܰܠܶܓܬ,ܐܶܬܦܰܠܰܓܬ,ܐܰܦܠܶܓܬ,ܐܶܬܬܰܦܠܰܓܬ
perfect,2FS,ܦܠܰܓܬܝ,ܐܶܬܦܠܶܓܬܝ,ܦܰܠܶܓܬܝ,ܐܶܬܦܰܠܰܓܬܝ,ܐܰܦܠܶܓܬܝ,ܐܶܬܰܦܠܰܓܬܝ
perfect,1S,ܦܶܠܓܶܬ,ܐܶܬܦܰܠܓܶܬ,ܦܰܠܓܶܬ,ܐܶܬܦܰܠܓܶܬ,ܐܰܦܠܓܶܬ,ܐܶܬܰܦܠܓܶܬ
perfect,3MP,ܦܠܰܓܘ,ܐܶܬܦܠܶܓܘ,ܦܰܠܶܓܘ,ܐܶܬܦܰܠܰܓܘ,ܐܰܦܠܶܓܘ,ܐܶܬܬܰܦܠܰܓܘ
perfect,3FP,ܦܠܰܓ̈ܝ,ܐܶܬܦܠܶܓ̈ܝ,ܦܰܠܶܓ̈ܝ,ܐܶܬܦܰܠܰܓ̈ܝ,ܐܰܦܠܶܓ̈ܝ,ܐܶܬܬܰܦܠܰܓ̈ܝ
perfect,2MP,ܦܠܰܓܬܽܘܢ,ܐܶܬܦܠܶܓܬܽܘܢ,ܦܰܠܶܓܬܽܘܢ,ܐܶܬܦܰܠܰܓܬܽܘܢ,ܐܰܦܠܶܓܬܽܘܢ,ܐܶܬܬܰܦܠܰܓܬܽܘܢ
perfect,2FP,ܦܠܰܓܬ̈ܶܝܢ,ܐܶܬܦܠܶܓ̈ܬܶܝܢ,ܦܰܠܶܓܬ̈ܶܝܢ,ܐܶܬܦܰܠܰܓ̈ܬܶܝܢ,ܐܰܦܠܶܓܬ̈ܶܝܢ,ܐܶܬܬܰܦܠܰܓ̈ܬܶܝܢ
perfect,1P,ܦܠܰܓܢ,ܐܶܬܦܠܶܓܢ,ܦܰܠܶܓܢ,ܐܶܬܦܰܠܰܓܢ,ܐܰܦܠܶܓܢ,ܐܶܬܬܰܦܠܰܓܢ
imperfect,3MS,ܢܶܦܠܽܘܓ,ܢܶܬܦܠܶܓ,ܢܦܰܠܶܓ,ܢܶܬܦܰܠܰܓ,ܢܰܦܠܶܓ,ܢܶܬܬܰܦܠܰܓ
imperfect,3FS,ܬܶܦܠܽܘܓ,ܬܶܬܦܠܶܓ,ܬܦܰܠܶܓ,ܬܶܬܦܰܠܰܓ,ܬܰܦܠܶܓ,ܬܶܬܰܦܠܰܓܝ
imperfect,2MS,ܬܶܦܠܽܘܓ,ܬܶܬܦܠܶܓ,ܬܦܰܠܶܓ,ܬܶܬܦܰܠܰܓ,ܬܰܦܠܶܓ,ܬܶܬܰܦܠܰܓ
imperfect,2FS,ܬܶܦܠܓܺܝܢ,ܬܶܬܦܰܠܓܺܝܢ,ܬܦܰܠܓܺܝܢ,ܬܶܬܦܰܠܓܺܝܢ,ܬܰܦܠܓܺܝܢ,ܬܶܬܰܦܠܓܺܝܢ
imperfect,1S,ܐܶܦܠܽܘܓ,ܐܶܬܦܠܶܓ,ܐܶܦܰܠܶܓ,ܐܶܬܦܰܠܰܓ,ܐܰܦܠܶܓ,ܐܶܬܬܰܦܠܰܓ
imperfect,3MP,ܢܶܦܠܓܽܘܢ,ܢܶܬܦܰܠܓܽܘܢ,ܢܦܰܠܓܽܘܢ,ܢܶܬܦܰܠܓܽܘܢ,ܢܰܦܠܓܽܘܢ,ܢܶܬܬܰܦܠܓܽܘܢ
imperfect,3FP,ܢܶܦ̈ܠܓܳܢ,ܢܶܬܦܰܠܓ̈ܳܢ,ܢܦܰܠܓ̈ܳܢ,ܢܶܬܦܰܠܓ̈ܳܢ,ܢܰܦܠܓ̈ܳܢ,ܢܶܬܬܰܦܠܓ̈ܳܢ
imperfect,2MP,ܬܶܦܠܓܽܘܢ,ܬܶܬܦܰܠܓܽܘܢ,ܬܦܰܠܓܽܘܢ,ܬܶܬܦܰܠܓܽܘܢ,ܬܰܦܠܓܽܘܢ,ܬܶܬܰܦܠܓܽܘܢ
imperfect,2FP,ܬܶܦ̈ܠܓܳܢ,ܬܶܬܦܰܠܓ̈ܳܢ,ܬܦܰܠܓ̈ܳܢ,ܬܶܬܦܰܠܓ̈ܳܢ,ܬܰܦܠܓ̈ܳܢ,ܬܶܬܰܦܠܓ̈ܳܢ
imperfect,1P,ܢܶܦܠܽܘܓ,ܢܶܬܦܠܶܓ,ܢܦܰܠܶܓ,ܢܶܬܦܰܠܰܓ,ܢܰܦܠܶܓ,ܢܶܬܬܰܦܠܰܓ
imperative,MS,ܦܠܽܘܓ,ܐܶܬܦܰܠܓ,ܦܰܠܶܓ,ܐܶܬܦܰܠܰܓ,ܐܰܦܠܶܓ,ܐܶܬܬܰܦܠܰܓ
imperative,FS,ܦܠܽܘܓܝ,ܐܶܬܦܰܠܓܝ,ܦܰܠܶܓܝ,ܐܶܬܦܰܠܰܓܝ,ܐܰܦܠܶܓܝ,ܐܶܬܬܰܦܠܰܓܝ
imperative,MP,ܦܠܽܘܓܘ,ܐܶܬܦܰܠܓܘ,ܦܰܠܶܓܘ,ܐܶܬܦܰܠܰܓܘ,ܐܰܦܠܶܓܘ,ܐܶܬܬܰܦܠܰܓܘ
imperative,FP,ܦܠܽܘܓ̈ܝ,ܐܶܬܦܰܠܓ̈ܝ,ܦܰܠܶܓ̈ܝ,ܐܶܬܦܰܠܰܓ̈ܝ,ܐܰܦܠܶܓ̈ܝ,ܐܶܬܬܰܦܠܰܓ̈ܝ
active-participle,MS,ܦܳܠܶܓ,ܡܶܬܦܠܶܓ,ܡܦܰܠܶܓ,ܡܶܬܦܰܠܰܓ,ܡܰܦܠܶܓ,ܡܶܬܬܰܦܠܰܓ
active-participle,FS,ܦܳܠܓܳܐ,ܡܶܬܦܰܠܓܳܐ,ܡܦܰܠܓܳܐ,ܡܶܬܦܰܠܓܳܐ,ܡܰܦܠܓܳܐ,ܡܶܬܬܰܦܠܓܳܐ
active-participle,MP,ܦܳܠܓܺܝܢ,ܡܶܬܦܰܠܓܺܝܢ,ܡܦܰܠܓܺܝܢ,ܡܶܬܦܰܠܓܺܝܢ,ܡܰܦܠܓܺܝܢ,ܡܶܬܬܰܦܠܓܺܝܢ
active-participle,FP,ܦܳܠ̈ܓܳܢ,ܡܶܬܦܰܠ̈ܓܳܢ,ܡܦܰܠ̈ܓܳܢ,ܡܶܬܦܰܠܓ̈ܳܢ,ܡܰܦܠܓ̈ܳܢ,ܡܶܬܬܰܦܠܓ̈ܳܢ
passive-participle,MS,ܦܠܺܝܓ,,ܡܦܰܠܰܓ,,ܡܰܦܠܰܓ,
passive-participle,FS,ܦܠܺܝܓܳܐ,,ܡܦܰܠܓܳܐ,,ܡܰܦܠܓܳܐ,
passive-participle,MP,ܦܠܺܝܓܺܝܢ,,ܡܦܰܠܓܺܝܢ,,ܡܰܦܠܓܺܝܢ,
passive-participle,FP,ܦܠܺܝ̈ܓܳܢ,,ܡܦܰܠ̈ܓܳܢ,,ܡܰܦܠ̈ܓܳܢ,
infinitive,,ܡܶܦܠܰܓ,ܡܶܬܦܠܳܓܽܘ,ܡܦܰܠܳܓܽܘ,ܡܶܬܦܰܠܳܓܽܘ,ܡܰܦܠܳܓܽܘ,ܡܶܬܬܰܦܠܳܓܽܘ
