ܦܠܚ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܠܰܚ,ܐܶܬܦܠܰܚ,ܦܰܠܰܚ,ܐܶܬܦܰܠܰܚ,ܐܰܦܠܰܚ,ܐܶܬܬܰܦܠܰܚ
perfect,3FS,ܦܶܠܚܰܬ,ܐܶܬܦܰܠܚܰܬ,ܦܰܠܚܰܬ,ܐܶܬܦܰܠܚܰܬ,ܐܰܦܠܚܰܬ,ܐܶܬܬܰܦܠܚܰܬ
perfect,2MS,ܦܠܰܚܬ,ܐܶܬܦܠܰܚܬ,ܦܰܠܰܚܬ,ܐܶܬܦܰܠܰܚܬ,ܐܰܦܠܰܚܬ,ܐܶܬܬܰܦܠܰܚܬ
perfect,2FS,ܦܠܰܚܬܝ,ܐܶܬܦܠܰܚܬܝ,ܦܰܠܰܚܬܝ,ܐܶܬܦܰܠܰܚܬܝ,ܐܰܦܠܰܚܬܝ,ܐܶܬܰܦܠܰܚܬܝ
perfect,1CS,ܦܶܠܚܶܬ,ܐܶܬܦܰܠܚܶܬ,ܦܰܠܚܶܬ,ܐܶܬܦܰܠܚܶܬ,ܐܰܦܠܚܶܬ,ܐܶܬܰܦܠܚܶܬ
perfect,3MP,ܦܠܰܚܘ,ܐܶܬܦܠܰܚܘ,ܦܰܠܰܚܘ,ܐܶܬܦܰܠܰܚܘ,ܐܰܦܠܰܚܘ,ܐܶܬܬܰܦܠܰܚܘ
perfect,3FP,ܦܠܰܚ̈ܝ,ܐܶܬܦܠܰܚ̈ܝ,ܦܰܠܰܚ̈ܝ,ܐܶܬܦܰܠܰܚ̈ܝ,ܐܰܦܠܰܚ̈ܝ,ܐܶܬܬܰܦܠܰܚ̈ܝ
perfect,2MP,ܦܠܰܚܬܽܘܢ,ܐܶܬܦܠܰܚܬܽܘܢ,ܦܰܠܰܚܬܽܘܢ,ܐܶܬܦܰܠܰܚܬܽܘܢ,ܐܰܦܠܰܚܬܽܘܢ,ܐܶܬܬܰܦܠܰܚܬܽܘܢ
perfect,2FP,ܦܠܰܚܬ̈ܶܝܢ,ܐܶܬܦܠܰܚ̈ܬܶܝܢ,ܦܰܠܰܚܬ̈ܶܝܢ,ܐܶܬܦܰܠܰܚ̈ܬܶܝܢ,ܐܰܦܠܰܚܬ̈ܶܝܢ,ܐܶܬܬܰܦܠܰܚ̈ܬܶܝܢ
perfect,1CP,ܦܠܰܚܢ,ܐܶܬܦܠܰܚܢ,ܦܰܠܰܚܢ,ܐܶܬܦܰܠܰܚܢ,ܐܰܦܠܰܚܢ,ܐܶܬܬܰܦܠܰܚܢ
imperfect,3MS,ܢܶܦܠܽܘܚ,ܢܶܬܦܠܰܚ,ܢܦܰܠܰܚ,ܢܶܬܦܰܠܰܚ,ܢܰܦܠܰܚ,ܢܶܬܬܰܦܠܰܚ
imperfect,3FS,ܬܶܦܠܽܘܚ,ܬܶܬܦܠܰܚ,ܬܦܰܠܰܚ,ܬܶܬܦܰܠܰܚ,ܬܰܦܠܰܚ,ܬܶܬܬܰܦܠܰܚܝ
imperfect,2MS,ܬܶܦܠܽܘܚ,ܬܶܬܦܠܰܚ,ܬܦܰܠܰܚ,ܬܶܬܦܰܠܰܚ,ܬܰܦܠܰܚ,ܬܶܬܬܰܦܠܰܚ
imperfect,2FS,ܬܶܦܠܚܺܝܢ,ܬܶܬܦܰܠܚܺܝܢ,ܬܦܰܠܚܺܝܢ,ܬܶܬܦܰܠܚܺܝܢ,ܬܰܦܠܚܺܝܢ,ܬܶܬܬܰܦܠܚܺܝܢ
imperfect,1CS,ܐܶܦܠܽܘܚ,ܐܶܬܦܠܰܚ,ܐܶܦܰܠܰܚ,ܐܶܬܦܰܠܰܚ,ܐܰܦܠܰܚ,ܐܶܬܬܰܦܠܰܚ
imperfect,3MP,ܢܶܦܠܚܽܘܢ,ܢܶܬܦܰܠܚܽܘܢ,ܢܦܰܠܚܽܘܢ,ܢܶܬܦܰܠܚܽܘܢ,ܢܰܦܠܚܽܘܢ,ܢܶܬܬܰܦܠܚܽܘܢ
imperfect,3FP,ܢܶܦ̈ܠܚܳܢ,ܢܶܬܦܰܠܚ̈ܳܢ,ܢܦܰܠܚ̈ܳܢ,ܢܶܬܦܰܠܚ̈ܳܢ,ܢܰܦܠܚ̈ܳܢ,ܢܶܬܬܰܦܠܚ̈ܳܢ
imperfect,2MP,ܬܶܦܠܚܽܘܢ,ܬܶܬܦܰܠܚܽܘܢ,ܬܦܰܠܚܽܘܢ,ܬܶܬܦܰܠܚܽܘܢ,ܬܰܦܠܚܽܘܢ,ܬܶܬܬܰܦܠܚܽܘܢ
imperfect,2FP,ܬܶܦ̈ܠܚܳܢ,ܬܶܬܦܰܠܚ̈ܳܢ,ܬܦܰܠܚ̈ܳܢ,ܬܶܬܦܰܠܚ̈ܳܢ,ܬܰܦܠܚ̈ܳܢ,ܬܶܬܬܰܦܠܚ̈ܳܢ
imperfect,1CP,ܢܶܦܠܽܘܚ,ܢܶܬܦܠܰܚ,ܢܦܰܠܰܚ,ܢܶܬܦܰܠܰܚ,ܢܰܦܠܰܚ,ܢܶܬܬܰܦܠܰܚ
imperative,MS,ܦܠܽܘܚ,ܐܶܬܦܰܠܚ,ܦܰܠܰܚ,ܐܶܬܦܰܠܰܚ,ܐܰܦܠܰܚ,ܐܶܬܬܰܦܠܰܚ
imperative,FS,ܦܠܽܘܚܝ,ܐܶܬܦܰܠܚܝ,ܦܰܠܰܚܝ,ܐܶܬܦܰܠܰܚܝ,ܐܰܦܠܰܚܝ,ܐܶܬܬܰܦܠܰܚܝ
imperative,MP,ܦܠܽܘܚܘ,ܐܶܬܦܰܠܚܘ,ܦܰܠܰܚܘ,ܐܶܬܦܰܠܰܚܘ,ܐܰܦܠܰܚܘ,ܐܶܬܬܰܦܠܰܚܘ
imperative,FP,ܦܠܽܘܚ̈ܝ,ܐܶܬܦܰܠܚ̈ܝ,ܦܰܠܰܚ̈ܝ,ܐܶܬܦܰܠܰܚ̈ܝ,ܐܰܦܠܰܚ̈ܝ,ܐܶܬܬܰܦܠܰܚ̈ܝ
