ܦܩܕ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܩܰܕ,´ܶܬܦܩܶܕ,ܦܰܩܶܕ,ܐܶܬܦܰܩܰܕ,ܐܰܦܩܶܕ,ܐܶܬܬܰܦܩܰܕ
perfect,3FS,ܦܶܩܕܰܬ,ܐܶܬܦܰܩܕܰܬ,ܦܰܩܕܰܬ,ܐܶܬܦܰܩܕܰܬ,ܐܰܦܩܕܰܬ,ܐܶܬܬܰܦܩܕܰܬ
perfect,2MS,ܦܩܰܕܬ,ܐܶܬܦܩܶܕܬ,ܦܰܩܶܕܬ,ܐܶܬܦܰܩܰܕܬ,ܐܰܦܩܶܕܬ,ܐܶܬܬܰܦܩܰܕܬ
perfect,2FS,ܦܩܰܕܬܝ,ܐܶܬܦܩܶܕܬܝ,ܦܰܩܶܕܬܝ,ܐܶܬܦܰܩܰܕܬܝ,ܐܰܦܩܶܕܬܝ,ܐܶܬܰܦܩܰܕܬܝ
perfect,1S,ܦܶܩܕܶܬ,ܐܶܬܦܰܩܕܶܬ,ܦܰܩܕܶܬ,ܐܶܬܦܰܩܕܶܬ,ܐܰܦܩܕܶܬ,ܐܶܬܰܦܩܕܶܬ
perfect,3MP,ܦܩܰܕܘ,ܐܶܬܦܩܶܕܘ,ܦܰܩܶܕܘ,ܐܶܬܦܰܩܰܕܘ,ܐܰܦܩܶܕܘ,ܐܶܬܬܰܦܩܰܕܘ
perfect,3FP,ܦܩܰܕ̈ܝ,ܐܶܬܦܩܶܕ̈ܝ,ܦܰܩܶܕ̈ܝ,ܐܶܬܦܰܩܰܕ̈ܝ,ܐܰܦܩܶܕ̈ܝ,ܐܶܬܬܰܦܩܰܕ̈ܝ
perfect,2MP,ܦܩܰܕܬܽܘܢ,ܐܶܬܦܩܶܕܬܽܘܢ,ܦܰܩܶܕܬܽܘܢ,ܐܶܬܦܰܩܰܕܬܽܘܢ,ܐܰܦܩܶܕܬܽܘܢ,ܐܶܬܬܰܦܩܰܕܬܽܘܢ
perfect,2FP,ܦܩܰܕܬ̈ܶܝܢ,ܐܶܬܦܩܶܕ̈ܬܶܝܢ,ܦܰܩܶܕܬ̈ܶܝܢ,ܐܶܬܦܰܩܰܕ̈ܬܶܝܢ,ܐܰܦܩܶܕܬ̈ܶܝܢ,ܐܶܬܬܰܦܩܰܕ̈ܬܶܝܢ
perfect,1P,ܦܩܰܕܢ,ܐܶܬܦܩܶܕܢ,ܦܰܩܶܕܢ,ܐܶܬܦܰܩܰܕܢ,ܐܰܦܩܶܕܢ,ܐܶܬܬܰܦܩܰܕܢ
imperfect,3MS,ܢܶܦܩܽܘܕ,ܢܶܬܦܩܶܕ,ܢܦܰܩܶܕ,ܢܶܬܦܰܩܰܕ,ܢܰܦܩܶܕ,ܢܶܬܬܰܦܩܰܕ
imperfect,3FS,ܬܶܦܩܽܘܕ,ܬܶܬܦܩܶܕ,ܬܦܰܩܶܕ,ܬܶܬܦܰܩܰܕ,ܬܰܦܩܶܕ,ܬܶܬܰܦܩܰܕܝ
imperfect,2MS,ܬܶܦܩܽܘܕ,ܬܶܬܦܩܶܕ,ܬܦܰܩܶܕ,ܬܶܬܦܰܩܰܕ,ܬܰܦܩܶܕ,ܬܶܬܰܦܩܰܕ
imperfect,2FS,ܬܶܦܩܕܺܝܢ,ܬܶܬܦܰܩܕܺܝܢ,ܬܦܰܩܕܺܝܢ,ܬܶܬܦܰܩܕܺܝܢ,ܬܰܦܩܕܺܝܢ,ܬܶܬܰܦܩܕܺܝܢ
imperfect,1S,ܐܶܦܩܽܘܕ,ܐܶܬܦܩܶܕ,ܐܶܦܰܩܶܕ,ܐܶܬܦܰܩܰܕ,ܐܰܦܩܶܕ,ܐܶܬܬܰܦܩܰܕ
imperfect,3MP,ܢܶܦܩܕܽܘܢ,ܢܶܬܦܰܩܕܽܘܢ,ܢܦܰܩܕܽܘܢ,ܢܶܬܦܰܩܕܽܘܢ,ܢܰܦܩܕܽܘܢ,ܢܶܬܬܰܦܩܕܽܘܢ
imperfect,3FP,ܢܶܦ̈ܩܕܳܢ,ܢܶܬܦܰܩܕ̈ܳܢ,ܢܦܰܩܕ̈ܳܢ,ܢܶܬܦܰܩܕ̈ܳܢ,ܢܰܦܩܕ̈ܳܢ,ܢܶܬܬܰܦܩܕ̈ܳܢ
imperfect,2MP,ܬܶܦܩܕܽܘܢ,ܬܶܬܦܰܩܕܽܘܢ,ܬܦܰܩܕܽܘܢ,ܬܶܬܦܰܩܕܽܘܢ,ܬܰܦܩܕܽܘܢ,ܬܶܬܰܦܩܕܽܘܢ
imperfect,2FP,ܬܶܦ̈ܩܕܳܢ,ܬܶܬܦܰܩܕ̈ܳܢ,ܬܦܰܩܕ̈ܳܢ,ܬܶܬܦܰܩܕ̈ܳܢ,ܬܰܦܩܕ̈ܳܢ,ܬܶܬܰܦܩܕ̈ܳܢ
imperfect,1P,ܢܶܦܩܽܘܕ,ܢܶܬܦܩܶܕ,ܢܦܰܩܶܕ,ܢܶܬܦܰܩܰܕ,ܢܰܦܩܶܕ,ܢܶܬܬܰܦܩܰܕ
imperative,MS,ܦܩܽܘܕ,ܐܶܬܦܰܩܕ,ܦܰܩܶܕ,ܐܶܬܦܰܩܰܕ,ܐܰܦܩܶܕ,ܐܶܬܬܰܦܩܰܕ
imperative,FS,ܦܩܽܘܕܝ,ܐܶܬܦܰܩܕܝ,ܦܰܩܶܕܝ,ܐܶܬܦܰܩܰܕܝ,ܐܰܦܩܶܕܝ,ܐܶܬܬܰܦܩܰܕܝ
imperative,MP,ܦܩܽܘܕܘ,ܐܶܬܦܰܩܕܘ,ܦܰܩܶܕܘ,ܐܶܬܦܰܩܰܕܘ,ܐܰܦܩܶܕܘ,ܐܶܬܬܰܦܩܰܕܘ
