ܦܪܣ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܪܰܣ,´ܶܬܦܪܶܣ,ܦܰܪܶܣ,ܐܶܬܦܰܪܰܣ,ܐܰܦܪܶܣ,ܐܶܬܬܰܦܪܰܣ
perfect,3FS,ܦܶܪܣܰܬ,ܐܶܬܦܰܪܣܰܬ,ܦܰܪܣܰܬ,ܐܶܬܦܰܪܣܰܬ,ܐܰܦܪܣܰܬ,ܐܶܬܬܰܦܪܣܰܬ
perfect,2MS,ܦܪܰܣܬ,ܐܶܬܦܪܶܣܬ,ܦܰܪܶܣܬ,ܐܶܬܦܰܪܰܣܬ,ܐܰܦܪܶܣܬ,ܐܶܬܬܰܦܪܰܣܬ
perfect,2FS,ܦܪܰܣܬܝ,ܐܶܬܦܪܶܣܬܝ,ܦܰܪܶܣܬܝ,ܐܶܬܦܰܪܰܣܬܝ,ܐܰܦܪܶܣܬܝ,ܐܶܬܰܦܪܰܣܬܝ
perfect,1CS,ܦܶܪܣܶܬ,ܐܶܬܦܰܪܣܶܬ,ܦܰܪܣܶܬ,ܐܶܬܦܰܪܣܶܬ,ܐܰܦܪܣܶܬ,ܐܶܬܰܦܪܣܶܬ
perfect,3MP,ܦܪܰܣܘ,ܐܶܬܦܪܶܣܘ,ܦܰܪܶܣܘ,ܐܶܬܦܰܪܰܣܘ,ܐܰܦܪܶܣܘ,ܐܶܬܬܰܦܪܰܣܘ
perfect,3FP,ܦܪܰܣ̈ܝ,ܐܶܬܦܪܶܣ̈ܝ,ܦܰܪܶܣ̈ܝ,ܐܶܬܦܰܪܰܣ̈ܝ,ܐܰܦܪܶܣ̈ܝ,ܐܶܬܬܰܦܪܰܣ̈ܝ
perfect,2MP,ܦܪܰܣܬܽܘܢ,ܐܶܬܦܪܶܣܬܽܘܢ,ܦܰܪܶܣܬܽܘܢ,ܐܶܬܦܰܪܰܣܬܽܘܢ,ܐܰܦܪܶܣܬܽܘܢ,ܐܶܬܬܰܦܪܰܣܬܽܘܢ
perfect,2FP,ܦܪܰܣܬ̈ܶܝܢ,ܐܶܬܦܪܶܣ̈ܬܶܝܢ,ܦܰܪܶܣܬ̈ܶܝܢ,ܐܶܬܦܰܪܰܣ̈ܬܶܝܢ,ܐܰܦܪܶܣܬ̈ܶܝܢ,ܐܶܬܬܰܦܪܰܣ̈ܬܶܝܢ
perfect,1CP,ܦܪܰܣܢ,ܐܶܬܦܪܶܣܢ,ܦܰܪܶܣܢ,ܐܶܬܦܰܪܰܣܢ,ܐܰܦܪܶܣܢ,ܐܶܬܬܰܦܪܰܣܢ
imperfect,3MS,ܢܶܦܪܽܘܣ,ܢܶܬܦܪܶܣ,ܢܦܰܪܶܣ,ܢܶܬܦܰܪܰܣ,ܢܰܦܪܶܣ,ܢܶܬܬܰܦܪܰܣ
