ܦܪܥ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܪܰܥ,ܐܶܬܦܪܰܥ,ܦܰܪܰܥ,ܐܶܬܦܰܪܰܥ,ܐܰܦܪܰܥ,ܐܶܬܬܰܦܪܰܥ
perfect,3FS,ܦܶܪܥܰܬ,ܐܶܬܦܰܪܥܰܬ,ܦܰܪܥܰܬ,ܐܶܬܦܰܪܥܰܬ,ܐܰܦܪܥܰܬ,ܐܶܬܬܰܦܪܥܰܬ
perfect,2MS,ܦܪܰܥܬ,ܐܶܬܦܪܰܥܬ,ܦܰܪܰܥܬ,ܐܶܬܦܰܪܰܥܬ,ܐܰܦܪܰܥܬ,ܐܶܬܬܰܦܪܰܥܬ
perfect,2FS,ܦܪܰܥܬܝ,ܐܶܬܦܪܰܥܬܝ,ܦܰܪܰܥܬܝ,ܐܶܬܦܰܪܰܥܬܝ,ܐܰܦܪܰܥܬܝ,ܐܶܬܰܦܪܰܥܬܝ
perfect,1CS,ܦܶܪܥܶܬ,ܐܶܬܦܰܪܥܶܬ,ܦܰܪܥܶܬ,ܐܶܬܦܰܪܥܶܬ,ܐܰܦܪܥܶܬ,ܐܶܬܰܦܪܥܶܬ
perfect,3MP,ܦܪܰܥܘ,ܐܶܬܦܪܰܥܘ,ܦܰܪܰܥܘ,ܐܶܬܦܰܪܰܥܘ,ܐܰܦܪܰܥܘ,ܐܶܬܬܰܦܪܰܥܘ
perfect,3FP,ܦܪܰܥ̈ܝ,ܐܶܬܦܪܰܥ̈ܝ,ܦܰܪܰܥ̈ܝ,ܐܶܬܦܰܪܰܥ̈ܝ,ܐܰܦܪܰܥ̈ܝ,ܐܶܬܬܰܦܪܰܥ̈ܝ
perfect,2MP,ܦܪܰܥܬܽܘܢ,ܐܶܬܦܪܰܥܬܽܘܢ,ܦܰܪܰܥܬܽܘܢ,ܐܶܬܦܰܪܰܥܬܽܘܢ,ܐܰܦܪܰܥܬܽܘܢ,ܐܶܬܬܰܦܪܰܥܬܽܘܢ
perfect,2FP,ܦܪܰܥܬ̈ܶܝܢ,ܐܶܬܦܪܰܥ̈ܬܶܝܢ,ܦܰܪܰܥܬ̈ܶܝܢ,ܐܶܬܦܰܪܰܥ̈ܬܶܝܢ,ܐܰܦܪܰܥܬ̈ܶܝܢ,ܐܶܬܬܰܦܪܰܥ̈ܬܶܝܢ
