ܦܪܩ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܪܰܩ,´ܶܬܦܪܶܩ,ܦܰܪܶܩ,ܐܶܬܦܰܪܰܩ,ܐܰܦܪܶܩ,ܐܶܬܬܰܦܪܰܩ
perfect,3FS,ܦܶܪܩܰܬ,ܐܶܬܦܰܪܩܰܬ,ܦܰܪܩܰܬ,ܐܶܬܦܰܪܩܰܬ,ܐܰܦܪܩܰܬ,ܐܶܬܬܰܦܪܩܰܬ
perfect,2MS,ܦܪܰܩܬ,ܐܶܬܦܪܶܩܬ,ܦܰܪܶܩܬ,ܐܶܬܦܰܪܰܩܬ,ܐܰܦܪܶܩܬ,ܐܶܬܬܰܦܪܰܩܬ
perfect,2FS,ܦܪܰܩܬܝ,ܐܶܬܦܪܶܩܬܝ,ܦܰܪܶܩܬܝ,ܐܶܬܦܰܪܰܩܬܝ,ܐܰܦܪܶܩܬܝ,ܐܶܬܰܦܪܰܩܬܝ
perfect,1CS,ܦܶܪܩܶܬ,ܐܶܬܦܰܪܩܶܬ,ܦܰܪܩܶܬ,ܐܶܬܦܰܪܩܶܬ,ܐܰܦܪܩܶܬ,ܐܶܬܰܦܪܩܶܬ
perfect,3MP,ܦܪܰܩܘ,ܐܶܬܦܪܶܩܘ,ܦܰܪܶܩܘ,ܐܶܬܦܰܪܰܩܘ,ܐܰܦܪܶܩܘ,ܐܶܬܬܰܦܪܰܩܘ
perfect,3FP,ܦܪܰܩ̈ܝ,ܐܶܬܦܪܶܩ̈ܝ,ܦܰܪܶܩ̈ܝ,ܐܶܬܦܰܪܰܩ̈ܝ,ܐܰܦܪܶܩ̈ܝ,ܐܶܬܬܰܦܪܰܩ̈ܝ
perfect,2MP,ܦܪܰܩܬܽܘܢ,ܐܶܬܦܪܶܩܬܽܘܢ,ܦܰܪܶܩܬܽܘܢ,ܐܶܬܦܰܪܰܩܬܽܘܢ,ܐܰܦܪܶܩܬܽܘܢ,ܐܶܬܬܰܦܪܰܩܬܽܘܢ
perfect,2FP,ܦܪܰܩܬ̈ܶܝܢ,ܐܶܬܦܪܶܩ̈ܬܶܝܢ,ܦܰܪܶܩܬ̈ܶܝܢ,ܐܶܬܦܰܪܰܩ̈ܬܶܝܢ,ܐܰܦܪܶܩܬ̈ܶܝܢ,ܐܶܬܬܰܦܪܰܩ̈ܬܶܝܢ
perfect,1CP,ܦܪܰܩܢ,ܐܶܬܦܪܶܩܢ,ܦܰܪܶܩܢ,ܐܶܬܦܰܪܰܩܢ,ܐܰܦܪܶܩܢ,ܐܶܬܬܰܦܪܰܩܢ
imperfect,3MS,ܢܶܦܪܽܘܩ,ܢܶܬܦܪܶܩ,ܢܦܰܪܶܩ,ܢܶܬܦܰܪܰܩ,ܢܰܦܪܶܩ,ܢܶܬܬܰܦܪܰܩ
imperfect,3FS,ܬܶܦܪܽܘܩ,ܬܶܬܦܪܶܩ,ܬܦܰܪܶܩ,ܬܶܬܦܰܪܰܩ,ܬܰܦܪܶܩ,ܬܶܬܰܦܪܰܩܝ
