ܦܪܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܪܰܫ,´ܶܬܦܪܶܫ,ܦܰܪܶܫ,ܐܶܬܦܰܪܰܫ,ܐܰܦܪܶܫ,ܐܶܬܬܰܦܪܰܫ
perfect,3FS,ܦܶܪܫܰܬ,ܐܶܬܦܰܪܫܰܬ,ܦܰܪܫܰܬ,ܐܶܬܦܰܪܫܰܬ,ܐܰܦܪܫܰܬ,ܐܶܬܬܰܦܪܫܰܬ
perfect,2MS,ܦܪܰܫܬ,ܐܶܬܦܪܶܫܬ,ܦܰܪܶܫܬ,ܐܶܬܦܰܪܰܫܬ,ܐܰܦܪܶܫܬ,ܐܶܬܬܰܦܪܰܫܬ
perfect,2FS,ܦܪܰܫܬܝ,ܐܶܬܦܪܶܫܬܝ,ܦܰܪܶܫܬܝ,ܐܶܬܦܰܪܰܫܬܝ,ܐܰܦܪܶܫܬܝ,ܐܶܬܰܦܪܰܫܬܝ
perfect,1S,ܦܶܪܫܶܬ,ܐܶܬܦܰܪܫܶܬ,ܦܰܪܫܶܬ,ܐܶܬܦܰܪܫܶܬ,ܐܰܦܪܫܶܬ,ܐܶܬܰܦܪܫܶܬ
perfect,3MP,ܦܪܰܫܘ,ܐܶܬܦܪܶܫܘ,ܦܰܪܶܫܘ,ܐܶܬܦܰܪܰܫܘ,ܐܰܦܪܶܫܘ,ܐܶܬܬܰܦܪܰܫܘ
perfect,3FP,ܦܪܰܫ̈ܝ,ܐܶܬܦܪܶܫ̈ܝ,ܦܰܪܶܫ̈ܝ,ܐܶܬܦܰܪܰܫ̈ܝ,ܐܰܦܪܶܫ̈ܝ,ܐܶܬܬܰܦܪܰܫ̈ܝ
perfect,2MP,ܦܪܰܫܬܽܘܢ,ܐܶܬܦܪܶܫܬܽܘܢ,ܦܰܪܶܫܬܽܘܢ,ܐܶܬܦܰܪܰܫܬܽܘܢ,ܐܰܦܪܶܫܬܽܘܢ,ܐܶܬܬܰܦܪܰܫܬܽܘܢ
perfect,2FP,ܦܪܰܫܬ̈ܶܝܢ,ܐܶܬܦܪܶܫ̈ܬܶܝܢ,ܦܰܪܶܫܬ̈ܶܝܢ,ܐܶܬܦܰܪܰܫ̈ܬܶܝܢ,ܐܰܦܪܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܦܪܰܫ̈ܬܶܝܢ
perfect,1P,ܦܪܰܫܢ,ܐܶܬܦܪܶܫܢ,ܦܰܪܶܫܢ,ܐܶܬܦܰܪܰܫܢ,ܐܰܦܪܶܫܢ,ܐܶܬܬܰܦܪܰܫܢ
imperfect,3MS,ܢܶܦܪܽܘܫ,ܢܶܬܦܪܶܫ,ܢܦܰܪܶܫ,ܢܶܬܦܰܪܰܫ,ܢܰܦܪܶܫ,ܢܶܬܬܰܦܪܰܫ
imperfect,3FS,ܬܶܦܪܽܘܫ,ܬܶܬܦܪܶܫ,ܬܦܰܪܶܫ,ܬܶܬܦܰܪܰܫ,ܬܰܦܪܶܫ,ܬܶܬܰܦܪܰܫܝ
imperfect,2MS,ܬܶܦܪܽܘܫ,ܬܶܬܦܪܶܫ,ܬܦܰܪܶܫ,ܬܶܬܦܰܪܰܫ,ܬܰܦܪܶܫ,ܬܶܬܰܦܪܰܫ
imperfect,2FS,ܬܶܦܪܫܺܝܢ,ܬܶܬܦܰܪܫܺܝܢ,ܬܦܰܪܫܺܝܢ,ܬܶܬܦܰܪܫܺܝܢ,ܬܰܦܪܫܺܝܢ,ܬܶܬܰܦܪܫܺܝܢ
imperfect,1S,ܐܶܦܪܽܘܫ,ܐܶܬܦܪܶܫ,ܐܶܦܰܪܶܫ,ܐܶܬܦܰܪܰܫ,ܐܰܦܪܶܫ,ܐܶܬܬܰܦܪܰܫ
imperfect,3MP,ܢܶܦܪܫܽܘܢ,ܢܶܬܦܰܪܫܽܘܢ,ܢܦܰܪܫܽܘܢ,ܢܶܬܦܰܪܫܽܘܢ,ܢܰܦܪܫܽܘܢ,ܢܶܬܬܰܦܪܫܽܘܢ
imperfect,3FP,ܢܶܦ̈ܪܫܳܢ,ܢܶܬܦܰܪܫ̈ܳܢ,ܢܦܰܪܫ̈ܳܢ,ܢܶܬܦܰܪܫ̈ܳܢ,ܢܰܦܪܫ̈ܳܢ,ܢܶܬܬܰܦܪܫ̈ܳܢ
imperfect,2MP,ܬܶܦܪܫܽܘܢ,ܬܶܬܦܰܪܫܽܘܢ,ܬܦܰܪܫܽܘܢ,ܬܶܬܦܰܪܫܽܘܢ,ܬܰܦܪܫܽܘܢ,ܬܶܬܰܦܪܫܽܘܢ
imperfect,2FP,ܬܶܦ̈ܪܫܳܢ,ܬܶܬܦܰܪܫ̈ܳܢ,ܬܦܰܪܫ̈ܳܢ,ܬܶܬܦܰܪܫ̈ܳܢ,ܬܰܦܪܫ̈ܳܢ,ܬܶܬܰܦܪܫ̈ܳܢ
imperfect,1P,ܢܶܦܪܽܘܫ,ܢܶܬܦܪܶܫ,ܢܦܰܪܶܫ,ܢܶܬܦܰܪܰܫ,ܢܰܦܪܶܫ,ܢܶܬܬܰܦܪܰܫ
