ܦܬܚ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܦܬܰܚ,ܐܶܬܦܬܰܚ,ܦܰܬܰܚ,ܐܶܬܦܰܬܰܚ,ܐܰܦܬܰܚ,ܐܶܬܬܰܦܬܰܚ
perfect,3FS,ܦܶܬܚܰܬ,ܐܶܬܦܰܬܚܰܬ,ܦܰܬܚܰܬ,ܐܶܬܦܰܬܚܰܬ,ܐܰܦܬܚܰܬ,ܐܶܬܬܰܦܬܚܰܬ
perfect,2MS,ܦܬܰܚܬ,ܐܶܬܦܬܰܚܬ,ܦܰܬܰܚܬ,ܐܶܬܦܰܬܰܚܬ,ܐܰܦܬܰܚܬ,ܐܶܬܬܰܦܬܰܚܬ
perfect,2FS,ܦܬܰܚܬܝ,ܐܶܬܦܬܰܚܬܝ,ܦܰܬܰܚܬܝ,ܐܶܬܦܰܬܰܚܬܝ,ܐܰܦܬܰܚܬܝ,ܐܶܬܰܦܬܰܚܬܝ
perfect,1S,ܦܶܬܚܶܬ,ܐܶܬܦܰܬܚܶܬ,ܦܰܬܚܶܬ,ܐܶܬܦܰܬܚܶܬ,ܐܰܦܬܚܶܬ,ܐܶܬܰܦܬܚܶܬ
perfect,3MP,ܦܬܰܚܘ,ܐܶܬܦܬܰܚܘ,ܦܰܬܰܚܘ,ܐܶܬܦܰܬܰܚܘ,ܐܰܦܬܰܚܘ,ܐܶܬܬܰܦܬܰܚܘ
perfect,3FP,ܦܬܰܚ̈ܝ,ܐܶܬܦܬܰܚ̈ܝ,ܦܰܬܰܚ̈ܝ,ܐܶܬܦܰܬܰܚ̈ܝ,ܐܰܦܬܰܚ̈ܝ,ܐܶܬܬܰܦܬܰܚ̈ܝ
perfect,2MP,ܦܬܰܚܬܽܘܢ,ܐܶܬܦܬܰܚܬܽܘܢ,ܦܰܬܰܚܬܽܘܢ,ܐܶܬܦܰܬܰܚܬܽܘܢ,ܐܰܦܬܰܚܬܽܘܢ,ܐܶܬܬܰܦܬܰܚܬܽܘܢ
perfect,2FP,ܦܬܰܚܬ̈ܶܝܢ,ܐܶܬܦܬܰܚ̈ܬܶܝܢ,ܦܰܬܰܚܬ̈ܶܝܢ,ܐܶܬܦܰܬܰܚ̈ܬܶܝܢ,ܐܰܦܬܰܚܬ̈ܶܝܢ,ܐܶܬܬܰܦܬܰܚ̈ܬܶܝܢ
perfect,1P,ܦܬܰܚܢ,ܐܶܬܦܬܰܚܢ,ܦܰܬܰܚܢ,ܐܶܬܦܰܬܰܚܢ,ܐܰܦܬܰܚܢ,ܐܶܬܬܰܦܬܰܚܢ
imperfect,3MS,ܢܶܦܬܽܘܚ,ܢܶܬܦܬܰܚ,ܢܦܰܬܰܚ,ܢܶܬܦܰܬܰܚ,ܢܰܦܬܰܚ,ܢܶܬܬܰܦܬܰܚ
imperfect,3FS,ܬܶܦܬܽܘܚ,ܬܶܬܦܬܰܚ,ܬܦܰܬܰܚ,ܬܶܬܦܰܬܰܚ,ܬܰܦܬܰܚ,ܬܶܬܬܰܦܬܰܚܝ
imperfect,2MS,ܬܶܦܬܽܘܚ,ܬܶܬܦܬܰܚ,ܬܦܰܬܰܚ,ܬܶܬܦܰܬܰܚ,ܬܰܦܬܰܚ,ܬܶܬܬܰܦܬܰܚ
imperfect,2FS,ܬܶܦܬܚܺܝܢ,ܬܶܬܦܰܬܚܺܝܢ,ܬܦܰܬܚܺܝܢ,ܬܶܬܦܰܬܚܺܝܢ,ܬܰܦܬܚܺܝܢ,ܬܶܬܬܰܦܬܚܺܝܢ
