ܩܒܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܒܰܠ,´ܶܬܩܒܶܠ,ܩܰܒܶܠ,ܐܶܬܩܰܒܰܠ,ܐܰܩܒܶܠ,ܐܶܬܬܰܩܒܰܠ
perfect,3FS,ܩܶܒܠܰܬ,ܐܶܬܩܰܒܠܰܬ,ܩܰܒܠܰܬ,ܐܶܬܩܰܒܠܰܬ,ܐܰܩܒܠܰܬ,ܐܶܬܬܰܩܒܠܰܬ
perfect,2MS,ܩܒܰܠܬ,ܐܶܬܩܒܶܠܬ,ܩܰܒܶܠܬ,ܐܶܬܩܰܒܰܠܬ,ܐܰܩܒܶܠܬ,ܐܶܬܬܰܩܒܰܠܬ
perfect,2FS,ܩܒܰܠܬܝ,ܐܶܬܩܒܶܠܬܝ,ܩܰܒܶܠܬܝ,ܐܶܬܩܰܒܰܠܬܝ,ܐܰܩܒܶܠܬܝ,ܐܶܬܰܩܒܰܠܬܝ
perfect,1S,ܩܶܒܠܶܬ,ܐܶܬܩܰܒܠܶܬ,ܩܰܒܠܶܬ,ܐܶܬܩܰܒܠܶܬ,ܐܰܩܒܠܶܬ,ܐܶܬܰܩܒܠܶܬ
perfect,3MP,ܩܒܰܠܘ,ܐܶܬܩܒܶܠܘ,ܩܰܒܶܠܘ,ܐܶܬܩܰܒܰܠܘ,ܐܰܩܒܶܠܘ,ܐܶܬܬܰܩܒܰܠܘ
perfect,3FP,ܩܒܰܠ̈ܝ,ܐܶܬܩܒܶܠ̈ܝ,ܩܰܒܶܠ̈ܝ,ܐܶܬܩܰܒܰܠ̈ܝ,ܐܰܩܒܶܠ̈ܝ,ܐܶܬܬܰܩܒܰܠ̈ܝ
perfect,2MP,ܩܒܰܠܬܽܘܢ,ܐܶܬܩܒܶܠܬܽܘܢ,ܩܰܒܶܠܬܽܘܢ,ܐܶܬܩܰܒܰܠܬܽܘܢ,ܐܰܩܒܶܠܬܽܘܢ,ܐܶܬܬܰܩܒܰܠܬܽܘܢ
perfect,2FP,ܩܒܰܠܬ̈ܶܝܢ,ܐܶܬܩܒܶܠ̈ܬܶܝܢ,ܩܰܒܶܠܬ̈ܶܝܢ,ܐܶܬܩܰܒܰܠ̈ܬܶܝܢ,ܐܰܩܒܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܩܒܰܠ̈ܬܶܝܢ
perfect,1P,ܩܒܰܠܢ,ܐܶܬܩܒܶܠܢ,ܩܰܒܶܠܢ,ܐܶܬܩܰܒܰܠܢ,ܐܰܩܒܶܠܢ,ܐܶܬܬܰܩܒܰܠܢ
imperfect,3MS,ܢܶܩܒܽܘܠ,ܢܶܬܩܒܶܠ,ܢܩܰܒܶܠ,ܢܶܬܩܰܒܰܠ,ܢܰܩܒܶܠ,ܢܶܬܬܰܩܒܰܠ
imperfect,3FS,ܬܶܩܒܽܘܠ,ܬܶܬܩܒܶܠ,ܬܩܰܒܶܠ,ܬܶܬܩܰܒܰܠ,ܬܰܩܒܶܠ,ܬܶܬܰܩܒܰܠܝ
imperfect,2MS,ܬܶܩܒܽܘܠ,ܬܶܬܩܒܶܠ,ܬܩܰܒܶܠ,ܬܶܬܩܰܒܰܠ,ܬܰܩܒܶܠ,ܬܶܬܰܩܒܰܠ
imperfect,2FS,ܬܶܩܒܠܺܝܢ,ܬܶܬܩܰܒܠܺܝܢ,ܬܩܰܒܠܺܝܢ,ܬܶܬܩܰܒܠܺܝܢ,ܬܰܩܒܠܺܝܢ,ܬܶܬܰܩܒܠܺܝܢ
imperfect,1S,ܐܶܩܒܽܘܠ,ܐܶܬܩܒܶܠ,ܐܶܩܰܒܶܠ,ܐܶܬܩܰܒܰܠ,ܐܰܩܒܶܠ,ܐܶܬܬܰܩܒܰܠ
imperfect,3MP,ܢܶܩܒܠܽܘܢ,ܢܶܬܩܰܒܠܽܘܢ,ܢܩܰܒܠܽܘܢ,ܢܶܬܩܰܒܠܽܘܢ,ܢܰܩܒܠܽܘܢ,ܢܶܬܬܰܩܒܠܽܘܢ
imperfect,3FP,ܢܶܩ̈ܒܠܳܢ,ܢܶܬܩܰܒܠ̈ܳܢ,ܢܩܰܒܠ̈ܳܢ,ܢܶܬܩܰܒܠ̈ܳܢ,ܢܰܩܒܠ̈ܳܢ,ܢܶܬܬܰܩܒܠ̈ܳܢ
imperfect,2MP,ܬܶܩܒܠܽܘܢ,ܬܶܬܩܰܒܠܽܘܢ,ܬܩܰܒܠܽܘܢ,ܬܶܬܩܰܒܠܽܘܢ,ܬܰܩܒܠܽܘܢ,ܬܶܬܰܩܒܠܽܘܢ
imperfect,2FP,ܬܶܩ̈ܒܠܳܢ,ܬܶܬܩܰܒܠ̈ܳܢ,ܬܩܰܒܠ̈ܳܢ,ܬܶܬܩܰܒܠ̈ܳܢ,ܬܰܩܒܠ̈ܳܢ,ܬܶܬܰܩܒܠ̈ܳܢ
imperfect,1P,ܢܶܩܒܽܘܠ,ܢܶܬܩܒܶܠ,ܢܩܰܒܶܠ,ܢܶܬܩܰܒܰܠ,ܢܰܩܒܶܠ,ܢܶܬܬܰܩܒܰܠ
imperative,MS,ܩܒܽܘܠ,ܐܶܬܩܰܒܠ,ܩܰܒܶܠ,ܐܶܬܩܰܒܰܠ,ܐܰܩܒܶܠ,ܐܶܬܬܰܩܒܰܠ
imperative,FS,ܩܒܽܘܠܝ,ܐܶܬܩܰܒܠܝ,ܩܰܒܶܠܝ,ܐܶܬܩܰܒܰܠܝ,ܐܰܩܒܶܠܝ,ܐܶܬܬܰܩܒܰܠܝ
imperative,MP,ܩܒܽܘܠܘ,ܐܶܬܩܰܒܠܘ,ܩܰܒܶܠܘ,ܐܶܬܩܰܒܰܠܘ,ܐܰܩܒܶܠܘ,ܐܶܬܬܰܩܒܰܠܘ
imperative,FP,ܩܒܽܘܠ̈ܝ,ܐܶܬܩܰܒܠ̈ܝ,ܩܰܒܶܠ̈ܝ,ܐܶܬܩܰܒܰܠ̈ܝ,ܐܰܩܒܶܠ̈ܝ,ܐܶܬܬܰܩܒܰܠ̈ܝ
active-participle,MS,ܩܳܒܶܠ,ܡܶܬܩܒܶܠ,ܡܩܰܒܶܠ,ܡܶܬܩܰܒܰܠ,ܡܰܩܒܶܠ,ܡܶܬܬܰܩܒܰܠ
