ܩܕܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܕܰܡ,´ܶܬܩܕܶܡ,ܩܰܕܶܡ,ܐܶܬܩܰܕܰܡ,ܐܰܩܕܶܡ,ܐܶܬܬܰܩܕܰܡ
perfect,3FS,ܩܶܕܡܰܬ,ܐܶܬܩܰܕܡܰܬ,ܩܰܕܡܰܬ,ܐܶܬܩܰܕܡܰܬ,ܐܰܩܕܡܰܬ,ܐܶܬܬܰܩܕܡܰܬ
perfect,2MS,ܩܕܰܡܬ,ܐܶܬܩܕܶܡܬ,ܩܰܕܶܡܬ,ܐܶܬܩܰܕܰܡܬ,ܐܰܩܕܶܡܬ,ܐܶܬܬܰܩܕܰܡܬ
perfect,2FS,ܩܕܰܡܬܝ,ܐܶܬܩܕܶܡܬܝ,ܩܰܕܶܡܬܝ,ܐܶܬܩܰܕܰܡܬܝ,ܐܰܩܕܶܡܬܝ,ܐܶܬܰܩܕܰܡܬܝ
perfect,1S,ܩܶܕܡܶܬ,ܐܶܬܩܰܕܡܶܬ,ܩܰܕܡܶܬ,ܐܶܬܩܰܕܡܶܬ,ܐܰܩܕܡܶܬ,ܐܶܬܰܩܕܡܶܬ
perfect,3MP,ܩܕܰܡܘ,ܐܶܬܩܕܶܡܘ,ܩܰܕܶܡܘ,ܐܶܬܩܰܕܰܡܘ,ܐܰܩܕܶܡܘ,ܐܶܬܬܰܩܕܰܡܘ
perfect,3FP,ܩܕܰܡ̈ܝ,ܐܶܬܩܕܶܡ̈ܝ,ܩܰܕܶܡ̈ܝ,ܐܶܬܩܰܕܰܡ̈ܝ,ܐܰܩܕܶܡ̈ܝ,ܐܶܬܬܰܩܕܰܡ̈ܝ
perfect,2MP,ܩܕܰܡܬܽܘܢ,ܐܶܬܩܕܶܡܬܽܘܢ,ܩܰܕܶܡܬܽܘܢ,ܐܶܬܩܰܕܰܡܬܽܘܢ,ܐܰܩܕܶܡܬܽܘܢ,ܐܶܬܬܰܩܕܰܡܬܽܘܢ
perfect,2FP,ܩܕܰܡܬ̈ܶܝܢ,ܐܶܬܩܕܶܡ̈ܬܶܝܢ,ܩܰܕܶܡܬ̈ܶܝܢ,ܐܶܬܩܰܕܰܡ̈ܬܶܝܢ,ܐܰܩܕܶܡܬ̈ܶܝܢ,ܐܶܬܬܰܩܕܰܡ̈ܬܶܝܢ
perfect,1P,ܩܕܰܡܢ,ܐܶܬܩܕܶܡܢ,ܩܰܕܶܡܢ,ܐܶܬܩܰܕܰܡܢ,ܐܰܩܕܶܡܢ,ܐܶܬܬܰܩܕܰܡܢ
imperfect,3MS,ܢܶܩܕܽܘܡ,ܢܶܬܩܕܶܡ,ܢܩܰܕܶܡ,ܢܶܬܩܰܕܰܡ,ܢܰܩܕܶܡ,ܢܶܬܬܰܩܕܰܡ
imperfect,3FS,ܬܶܩܕܽܘܡ,ܬܶܬܩܕܶܡ,ܬܩܰܕܶܡ,ܬܶܬܩܰܕܰܡ,ܬܰܩܕܶܡ,ܬܶܬܰܩܕܰܡܝ
imperfect,2MS,ܬܶܩܕܽܘܡ,ܬܶܬܩܕܶܡ,ܬܩܰܕܶܡ,ܬܶܬܩܰܕܰܡ,ܬܰܩܕܶܡ,ܬܶܬܰܩܕܰܡ
