ܩܕܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܕܰܫ,´ܶܬܩܕܶܫ,ܩܰܕܶܫ,ܐܶܬܩܰܕܰܫ,ܐܰܩܕܶܫ,ܐܶܬܬܰܩܕܰܫ
perfect,3FS,ܩܶܕܫܰܬ,ܐܶܬܩܰܕܫܰܬ,ܩܰܕܫܰܬ,ܐܶܬܩܰܕܫܰܬ,ܐܰܩܕܫܰܬ,ܐܶܬܬܰܩܕܫܰܬ
perfect,2MS,ܩܕܰܫܬ,ܐܶܬܩܕܶܫܬ,ܩܰܕܶܫܬ,ܐܶܬܩܰܕܰܫܬ,ܐܰܩܕܶܫܬ,ܐܶܬܬܰܩܕܰܫܬ
perfect,2FS,ܩܕܰܫܬܝ,ܐܶܬܩܕܶܫܬܝ,ܩܰܕܶܫܬܝ,ܐܶܬܩܰܕܰܫܬܝ,ܐܰܩܕܶܫܬܝ,ܐܶܬܰܩܕܰܫܬܝ
perfect,1S,ܩܶܕܫܶܬ,ܐܶܬܩܰܕܫܶܬ,ܩܰܕܫܶܬ,ܐܶܬܩܰܕܫܶܬ,ܐܰܩܕܫܶܬ,ܐܶܬܰܩܕܫܶܬ
perfect,3MP,ܩܕܰܫܘ,ܐܶܬܩܕܶܫܘ,ܩܰܕܶܫܘ,ܐܶܬܩܰܕܰܫܘ,ܐܰܩܕܶܫܘ,ܐܶܬܬܰܩܕܰܫܘ
perfect,3FP,ܩܕܰܫ̈ܝ,ܐܶܬܩܕܶܫ̈ܝ,ܩܰܕܶܫ̈ܝ,ܐܶܬܩܰܕܰܫ̈ܝ,ܐܰܩܕܶܫ̈ܝ,ܐܶܬܬܰܩܕܰܫ̈ܝ
perfect,2MP,ܩܕܰܫܬܽܘܢ,ܐܶܬܩܕܶܫܬܽܘܢ,ܩܰܕܶܫܬܽܘܢ,ܐܶܬܩܰܕܰܫܬܽܘܢ,ܐܰܩܕܶܫܬܽܘܢ,ܐܶܬܬܰܩܕܰܫܬܽܘܢ
perfect,2FP,ܩܕܰܫܬ̈ܶܝܢ,ܐܶܬܩܕܶܫ̈ܬܶܝܢ,ܩܰܕܶܫܬ̈ܶܝܢ,ܐܶܬܩܰܕܰܫ̈ܬܶܝܢ,ܐܰܩܕܶܫܬ̈ܶܝܢ,ܐܶܬܬܰܩܕܰܫ̈ܬܶܝܢ
perfect,1P,ܩܕܰܫܢ,ܐܶܬܩܕܶܫܢ,ܩܰܕܶܫܢ,ܐܶܬܩܰܕܰܫܢ,ܐܰܩܕܶܫܢ,ܐܶܬܬܰܩܕܰܫܢ
imperfect,3MS,ܢܶܩܕܽܘܫ,ܢܶܬܩܕܶܫ,ܢܩܰܕܶܫ,ܢܶܬܩܰܕܰܫ,ܢܰܩܕܶܫ,ܢܶܬܬܰܩܕܰܫ
imperfect,3FS,ܬܶܩܕܽܘܫ,ܬܶܬܩܕܶܫ,ܬܩܰܕܶܫ,ܬܶܬܩܰܕܰܫ,ܬܰܩܕܶܫ,ܬܶܬܰܩܕܰܫܝ
imperfect,2MS,ܬܶܩܕܽܘܫ,ܬܶܬܩܕܶܫ,ܬܩܰܕܶܫ,ܬܶܬܩܰܕܰܫ,ܬܰܩܕܶܫ,ܬܶܬܰܩܕܰܫ
imperfect,2FS,ܬܶܩܕܫܺܝܢ,ܬܶܬܩܰܕܫܺܝܢ,ܬܩܰܕܫܺܝܢ,ܬܶܬܩܰܕܫܺܝܢ,ܬܰܩܕܫܺܝܢ,ܬܶܬܰܩܕܫܺܝܢ
imperfect,1S,ܐܶܩܕܽܘܫ,ܐܶܬܩܕܶܫ,ܐܶܩܰܕܶܫ,ܐܶܬܩܰܕܰܫ,ܐܰܩܕܶܫ,ܐܶܬܬܰܩܕܰܫ
imperfect,3MP,ܢܶܩܕܫܽܘܢ,ܢܶܬܩܰܕܫܽܘܢ,ܢܩܰܕܫܽܘܢ,ܢܶܬܩܰܕܫܽܘܢ,ܢܰܩܕܫܽܘܢ,ܢܶܬܬܰܩܕܫܽܘܢ
