ܩܛܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܛܰܠ,´ܶܬܩܛܶܠ,ܩܰܛܶܠ,ܐܶܬܩܰܛܰܠ,ܐܰܩܛܶܠ,ܐܶܬܬܰܩܛܰܠ
perfect,3FS,ܩܶܛܠܰܬ,ܐܶܬܩܰܛܠܰܬ,ܩܰܛܠܰܬ,ܐܶܬܩܰܛܠܰܬ,ܐܰܩܛܠܰܬ,ܐܶܬܬܰܩܛܠܰܬ
perfect,2MS,ܩܛܰܠܬ,ܐܶܬܩܛܶܠܬ,ܩܰܛܶܠܬ,ܐܶܬܩܰܛܰܠܬ,ܐܰܩܛܶܠܬ,ܐܶܬܬܰܩܛܰܠܬ
perfect,2FS,ܩܛܰܠܬܝ,ܐܶܬܩܛܶܠܬܝ,ܩܰܛܶܠܬܝ,ܐܶܬܩܰܛܰܠܬܝ,ܐܰܩܛܶܠܬܝ,ܐܶܬܰܩܛܰܠܬܝ
perfect,1CS,ܩܶܛܠܶܬ,ܐܶܬܩܰܛܠܶܬ,ܩܰܛܠܶܬ,ܐܶܬܩܰܛܠܶܬ,ܐܰܩܛܠܶܬ,ܐܶܬܰܩܛܠܶܬ
perfect,3MP,ܩܛܰܠܘ,ܐܶܬܩܛܶܠܘ,ܩܰܛܶܠܘ,ܐܶܬܩܰܛܰܠܘ,ܐܰܩܛܶܠܘ,ܐܶܬܬܰܩܛܰܠܘ
perfect,3FP,ܩܛܰܠ̈ܝ,ܐܶܬܩܛܶܠ̈ܝ,ܩܰܛܶܠ̈ܝ,ܐܶܬܩܰܛܰܠ̈ܝ,ܐܰܩܛܶܠ̈ܝ,ܐܶܬܬܰܩܛܰܠ̈ܝ
perfect,2MP,ܩܛܰܠܬܽܘܢ,ܐܶܬܩܛܶܠܬܽܘܢ,ܩܰܛܶܠܬܽܘܢ,ܐܶܬܩܰܛܰܠܬܽܘܢ,ܐܰܩܛܶܠܬܽܘܢ,ܐܶܬܬܰܩܛܰܠܬܽܘܢ
perfect,2FP,ܩܛܰܠܬ̈ܶܝܢ,ܐܶܬܩܛܶܠ̈ܬܶܝܢ,ܩܰܛܶܠܬ̈ܶܝܢ,ܐܶܬܩܰܛܰܠ̈ܬܶܝܢ,ܐܰܩܛܶܠܬ̈ܶܝܢ,ܐܶܬܬܰܩܛܰܠ̈ܬܶܝܢ
perfect,1CP,ܩܛܰܠܢ,ܐܶܬܩܛܶܠܢ,ܩܰܛܶܠܢ,ܐܶܬܩܰܛܰܠܢ,ܐܰܩܛܶܠܢ,ܐܶܬܬܰܩܛܰܠܢ
imperfect,3MS,ܢܶܩܛܽܘܠ,ܢܶܬܩܛܶܠ,ܢܩܰܛܶܠ,ܢܶܬܩܰܛܰܠ,ܢܰܩܛܶܠ,ܢܶܬܬܰܩܛܰܠ
imperfect,3FS,ܬܶܩܛܽܘܠ,ܬܶܬܩܛܶܠ,ܬܩܰܛܶܠ,ܬܶܬܩܰܛܰܠ,ܬܰܩܛܶܠ,ܬܶܬܰܩܛܰܠܝ
imperfect,2MS,ܬܶܩܛܽܘܠ,ܬܶܬܩܛܶܠ,ܬܩܰܛܶܠ,ܬܶܬܩܰܛܰܠ,ܬܰܩܛܶܠ,ܬܶܬܰܩܛܰܠ
imperfect,2FS,ܬܶܩܛܠܺܝܢ,ܬܶܬܩܰܛܠܺܝܢ,ܬܩܰܛܠܺܝܢ,ܬܶܬܩܰܛܠܺܝܢ,ܬܰܩܛܠܺܝܢ,ܬܶܬܰܩܛܠܺܝܢ
imperfect,1CS,ܐܶܩܛܽܘܠ,ܐܶܬܩܛܶܠ,ܐܶܩܰܛܶܠ,ܐܶܬܩܰܛܰܠ,ܐܰܩܛܶܠ,ܐܶܬܬܰܩܛܰܠ
imperfect,3MP,ܢܶܩܛܠܽܘܢ,ܢܶܬܩܰܛܠܽܘܢ,ܢܩܰܛܠܽܘܢ,ܢܶܬܩܰܛܠܽܘܢ,ܢܰܩܛܠܽܘܢ,ܢܶܬܬܰܩܛܠܽܘܢ
imperfect,3FP,ܢܶܩ̈ܛܠܳܢ,ܢܶܬܩܰܛܠ̈ܳܢ,ܢܩܰܛܠ̈ܳܢ,ܢܶܬܩܰܛܠ̈ܳܢ,ܢܰܩܛܠ̈ܳܢ,ܢܶܬܬܰܩܛܠ̈ܳܢ
imperfect,2MP,ܬܶܩܛܠܽܘܢ,ܬܶܬܩܰܛܠܽܘܢ,ܬܩܰܛܠܽܘܢ,ܬܶܬܩܰܛܠܽܘܢ,ܬܰܩܛܠܽܘܢ,ܬܶܬܰܩܛܠܽܘܢ
imperfect,2FP,ܬܶܩ̈ܛܠܳܢ,ܬܶܬܩܰܛܠ̈ܳܢ,ܬܩܰܛܠ̈ܳܢ,ܬܶܬܩܰܛܠ̈ܳܢ,ܬܰܩܛܠ̈ܳܢ,ܬܶܬܰܩܛܠ̈ܳܢ
imperfect,1CP,ܢܶܩܛܽܘܠ,ܢܶܬܩܛܶܠ,ܢܩܰܛܶܠ,ܢܶܬܩܰܛܰܠ,ܢܰܩܛܶܠ,ܢܶܬܬܰܩܛܰܠ
imperative,MS,ܩܛܽܘܠ,ܐܶܬܩܰܛܠ,ܩܰܛܶܠ,ܐܶܬܩܰܛܰܠ,ܐܰܩܛܶܠ,ܐܶܬܬܰܩܛܰܠ
imperative,FS,ܩܛܽܘܠܝ,ܐܶܬܩܰܛܠܝ,ܩܰܛܶܠܝ,ܐܶܬܩܰܛܰܠܝ,ܐܰܩܛܶܠܝ,ܐܶܬܬܰܩܛܰܠܝ
imperative,MP,ܩܛܽܘܠܘ,ܐܶܬܩܰܛܠܘ,ܩܰܛܶܠܘ,ܐܶܬܩܰܛܰܠܘ,ܐܰܩܛܶܠܘ,ܐܶܬܬܰܩܛܰܠܘ
imperative,FP,ܩܛܽܘܠ̈ܝ,ܐܶܬܩܰܛܠ̈ܝ,ܩܰܛܶܠ̈ܝ,ܐܶܬܩܰܛܰܠ̈ܝ,ܐܰܩܛܶܠ̈ܝ,ܐܶܬܬܰܩܛܰܠ̈ܝ
active-participle,MS,ܩܳܛܶܠ,ܡܶܬܩܛܶܠ,ܡܩܰܛܶܠ,ܡܶܬܩܰܛܰܠ,ܡܰܩܛܶܠ,ܡܶܬܬܰܩܛܰܠ
active-participle,FS,ܩܳܛܠܳܐ,ܡܶܬܩܰܛܠܳܐ,ܡܩܰܛܠܳܐ,ܡܶܬܩܰܛܠܳܐ,ܡܰܩܛܠܳܐ,ܡܶܬܬܰܩܛܠܳܐ
active-participle,MP,ܩܳܛܠܺܝܢ,ܡܶܬܩܰܛܠܺܝܢ,ܡܩܰܛܠܺܝܢ,ܡܶܬܩܰܛܠܺܝܢ,ܡܰܩܛܠܺܝܢ,ܡܶܬܬܰܩܛܠܺܝܢ
active-participle,FP,ܩܳܛ̈ܠܳܢ,ܡܶܬܩܰܛ̈ܠܳܢ,ܡܩܰܛ̈ܠܳܢ,ܡܶܬܩܰܛܠ̈ܳܢ,ܡܰܩܛܠ̈ܳܢ,ܡܶܬܬܰܩܛܠ̈ܳܢ
passive-participle,MS,ܩܛܺܝܠ,,ܡܩܰܛܰܠ,,ܡܰܩܛܰܠ,
passive-participle,FS,ܩܛܺܝܠܳܐ,,ܡܩܰܛܠܳܐ,,ܡܰܩܛܠܳܐ,
passive-participle,MP,ܩܛܺܝܠܺܝܢ,,ܡܩܰܛܠܺܝܢ,,ܡܰܩܛܠܺܝܢ,
passive-participle,FP,ܩܛܺܝ̈ܠܳܢ,,ܡܩܰܛ̈ܠܳܢ,,ܡܰܩܛ̈ܠܳܢ,
infinitive,,ܡܶܩܛܰܠ,ܡܶܬܩܛܳܠܽܘ,ܡܩܰܛܳܠܽܘ,ܡܶܬܩܰܛܳܠܽܘ,ܡܰܩܛܳܠܽܘ,ܡܶܬܬܰܩܛܳܠܽܘ
