ܩܪܒ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܩܪܶܒ,´ܶܬܩܪܶܒ,ܩܰܪܶܒ,ܐܶܬܩܰܪܰܒ,ܐܰܩܪܶܒ,ܐܶܬܬܰܩܪܰܒ
perfect,3FS,ܩܶܪܒܰܬ,ܐܶܬܩܰܪܒܰܬ,ܩܰܪܒܰܬ,ܐܶܬܩܰܪܒܰܬ,ܐܰܩܪܒܰܬ,ܐܶܬܬܰܩܪܒܰܬ
perfect,2MS,ܩܪܶܒܬ,ܐܶܬܩܪܶܒܬ,ܩܰܪܶܒܬ,ܐܶܬܩܰܪܰܒܬ,ܐܰܩܪܶܒܬ,ܐܶܬܬܰܩܪܰܒܬ
perfect,2FS,ܩܪܶܒܬܝ,ܐܶܬܩܪܶܒܬܝ,ܩܰܪܶܒܬܝ,ܐܶܬܩܰܪܰܒܬܝ,ܐܰܩܪܶܒܬܝ,ܐܶܬܰܩܪܰܒܬܝ
perfect,1S,ܩܶܪܒܶܬ,ܐܶܬܩܰܪܒܶܬ,ܩܰܪܒܶܬ,ܐܶܬܩܰܪܒܶܬ,ܐܰܩܪܒܶܬ,ܐܶܬܰܩܪܒܶܬ
perfect,3MP,ܩܪܶܒܘ,ܐܶܬܩܪܶܒܘ,ܩܰܪܶܒܘ,ܐܶܬܩܰܪܰܒܘ,ܐܰܩܪܶܒܘ,ܐܶܬܬܰܩܪܰܒܘ
perfect,3FP,ܩܪܶܒ̈ܝ,ܐܶܬܩܪܶܒ̈ܝ,ܩܰܪܶܒ̈ܝ,ܐܶܬܩܰܪܰܒ̈ܝ,ܐܰܩܪܶܒ̈ܝ,ܐܶܬܬܰܩܪܰܒ̈ܝ
perfect,2MP,ܩܪܶܒܬܽܘܢ,ܐܶܬܩܪܶܒܬܽܘܢ,ܩܰܪܶܒܬܽܘܢ,ܐܶܬܩܰܪܰܒܬܽܘܢ,ܐܰܩܪܶܒܬܽܘܢ,ܐܶܬܬܰܩܪܰܒܬܽܘܢ
perfect,2FP,ܩܪܶܒܬ̈ܶܝܢ,ܐܶܬܩܪܶܒ̈ܬܶܝܢ,ܩܰܪܶܒܬ̈ܶܝܢ,ܐܶܬܩܰܪܰܒ̈ܬܶܝܢ,ܐܰܩܪܶܒܬ̈ܶܝܢ,ܐܶܬܬܰܩܪܰܒ̈ܬܶܝܢ
perfect,1P,ܩܪܶܒܢ,ܐܶܬܩܪܶܒܢ,ܩܰܪܶܒܢ,ܐܶܬܩܰܪܰܒܢ,ܐܰܩܪܶܒܢ,ܐܶܬܬܰܩܪܰܒܢ
imperfect,3MS,ܢܶܩܪܽܘܒ,ܢܶܬܩܪܶܒ,ܢܩܰܪܶܒ,ܢܶܬܩܰܪܰܒ,ܢܰܩܪܶܒ,ܢܶܬܬܰܩܪܰܒ
imperfect,3FS,ܬܶܩܪܽܘܒ,ܬܶܬܩܪܶܒ,ܬܩܰܪܶܒ,ܬܶܬܩܰܪܰܒ,ܬܰܩܪܶܒ,ܬܶܬܰܩܪܰܒܝ
imperfect,2MS,ܬܶܩܪܽܘܒ,ܬܶܬܩܪܶܒ,ܬܩܰܪܶܒ,ܬܶܬܩܰܪܰܒ,ܬܰܩܪܶܒ,ܬܶܬܰܩܪܰܒ
imperfect,2FS,ܬܶܩܪܒܺܝܢ,ܬܶܬܩܰܪܒܺܝܢ,ܬܩܰܪܒܺܝܢ,ܬܶܬܩܰܪܒܺܝܢ,ܬܰܩܪܒܺܝܢ,ܬܶܬܰܩܪܒܺܝܢ
imperfect,1S,ܐܶܩܪܽܘܒ,ܐܶܬܩܪܶܒ,ܐܶܩܰܪܶܒ,ܐܶܬܩܰܪܰܒ,ܐܰܩܪܶܒ,ܐܶܬܬܰܩܪܰܒ
imperfect,3MP,ܢܶܩܪܒܽܘܢ,ܢܶܬܩܰܪܒܽܘܢ,ܢܩܰܪܒܽܘܢ,ܢܶܬܩܰܪܒܽܘܢ,ܢܰܩܪܒܽܘܢ,ܢܶܬܬܰܩܪܒܽܘܢ
imperfect,3FP,ܢܶܩ̈ܪܒܳܢ,ܢܶܬܩܰܪܒ̈ܳܢ,ܢܩܰܪܒ̈ܳܢ,ܢܶܬܩܰܪܒ̈ܳܢ,ܢܰܩܪܒ̈ܳܢ,ܢܶܬܬܰܩܪܒ̈ܳܢ
imperfect,2MP,ܬܶܩܪܒܽܘܢ,ܬܶܬܩܰܪܒܽܘܢ,ܬܩܰܪܒܽܘܢ,ܬܶܬܩܰܪܒܽܘܢ,ܬܰܩܪܒܽܘܢ,ܬܶܬܰܩܪܒܽܘܢ
imperfect,2FP,ܬܶܩ̈ܪܒܳܢ,ܬܶܬܩܰܪܒ̈ܳܢ,ܬܩܰܪܒ̈ܳܢ,ܬܶܬܩܰܪܒ̈ܳܢ,ܬܰܩܪܒ̈ܳܢ,ܬܶܬܰܩܪܒ̈ܳܢ
imperfect,1P,ܢܶܩܪܽܘܒ,ܢܶܬܩܪܶܒ,ܢܩܰܪܶܒ,ܢܶܬܩܰܪܰܒ,ܢܰܩܪܶܒ,ܢܶܬܬܰܩܪܰܒ
imperative,MS,ܩܪܽܘܒ,ܐܶܬܩܰܪܒ,ܩܰܪܶܒ,ܐܶܬܩܰܪܰܒ,ܐܰܩܪܶܒ,ܐܶܬܬܰܩܪܰܒ
imperative,FS,ܩܪܽܘܒܝ,ܐܶܬܩܰܪܒܝ,ܩܰܪܶܒܝ,ܐܶܬܩܰܪܰܒܝ,ܐܰܩܪܶܒܝ,ܐܶܬܬܰܩܪܰܒܝ
imperative,MP,ܩܪܽܘܒܘ,ܐܶܬܩܰܪܒܘ,ܩܰܪܶܒܘ,ܐܶܬܩܰܪܰܒܘ,ܐܰܩܪܶܒܘ,ܐܶܬܬܰܩܪܰܒܘ
