ܪܗܛ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܗܶܛ,´ܶܬܪܗܶܛ,ܪܰܗܶܛ,ܐܶܬܪܰܗܰܛ,ܐܰܪܗܶܛ,ܐܶܬܬܰܪܗܰܛ
perfect,3FS,ܪܶܗܛܰܬ,ܐܶܬܪܰܗܛܰܬ,ܪܰܗܛܰܬ,ܐܶܬܪܰܗܛܰܬ,ܐܰܪܗܛܰܬ,ܐܶܬܬܰܪܗܛܰܬ
perfect,2MS,ܪܗܶܛܬ,ܐܶܬܪܗܶܛܬ,ܪܰܗܶܛܬ,ܐܶܬܪܰܗܰܛܬ,ܐܰܪܗܶܛܬ,ܐܶܬܬܰܪܗܰܛܬ
perfect,2FS,ܪܗܶܛܬܝ,ܐܶܬܪܗܶܛܬܝ,ܪܰܗܶܛܬܝ,ܐܶܬܪܰܗܰܛܬܝ,ܐܰܪܗܶܛܬܝ,ܐܶܬܰܪܗܰܛܬܝ
perfect,1S,ܪܶܗܛܶܬ,ܐܶܬܪܰܗܛܶܬ,ܪܰܗܛܶܬ,ܐܶܬܪܰܗܛܶܬ,ܐܰܪܗܛܶܬ,ܐܶܬܰܪܗܛܶܬ
perfect,3MP,ܪܗܶܛܘ,ܐܶܬܪܗܶܛܘ,ܪܰܗܶܛܘ,ܐܶܬܪܰܗܰܛܘ,ܐܰܪܗܶܛܘ,ܐܶܬܬܰܪܗܰܛܘ
perfect,3FP,ܪܗܶܛ̈ܝ,ܐܶܬܪܗܶܛ̈ܝ,ܪܰܗܶܛ̈ܝ,ܐܶܬܪܰܗܰܛ̈ܝ,ܐܰܪܗܶܛ̈ܝ,ܐܶܬܬܰܪܗܰܛ̈ܝ
perfect,2MP,ܪܗܶܛܬܽܘܢ,ܐܶܬܪܗܶܛܬܽܘܢ,ܪܰܗܶܛܬܽܘܢ,ܐܶܬܪܰܗܰܛܬܽܘܢ,ܐܰܪܗܶܛܬܽܘܢ,ܐܶܬܬܰܪܗܰܛܬܽܘܢ
perfect,2FP,ܪܗܶܛܬ̈ܶܝܢ,ܐܶܬܪܗܶܛ̈ܬܶܝܢ,ܪܰܗܶܛܬ̈ܶܝܢ,ܐܶܬܪܰܗܰܛ̈ܬܶܝܢ,ܐܰܪܗܶܛܬ̈ܶܝܢ,ܐܶܬܬܰܪܗܰܛ̈ܬܶܝܢ
perfect,1P,ܪܗܶܛܢ,ܐܶܬܪܗܶܛܢ,ܪܰܗܶܛܢ,ܐܶܬܪܰܗܰܛܢ,ܐܰܪܗܶܛܢ,ܐܶܬܬܰܪܗܰܛܢ
imperfect,3MS,ܢܶܪܗܰܛ,ܢܶܬܪܗܶܛ,ܢܪܰܗܶܛ,ܢܶܬܪܰܗܰܛ,ܢܰܪܗܶܛ,ܢܶܬܬܰܪܗܰܛ
imperfect,3FS,ܬܶܪܗܰܛ,ܬܶܬܪܗܶܛ,ܬܪܰܗܶܛ,ܬܶܬܪܰܗܰܛ,ܬܰܪܗܶܛ,ܬܶܬܰܪܗܰܛܝ
imperfect,2MS,ܬܶܪܗܰܛ,ܬܶܬܪܗܶܛ,ܬܪܰܗܶܛ,ܬܶܬܪܰܗܰܛ,ܬܰܪܗܶܛ,ܬܶܬܰܪܗܰܛ
imperfect,2FS,ܬܶܪܗܛܺܝܢ,ܬܶܬܪܰܗܛܺܝܢ,ܬܪܰܗܛܺܝܢ,ܬܶܬܪܰܗܛܺܝܢ,ܬܰܪܗܛܺܝܢ,ܬܶܬܰܪܗܛܺܝܢ
imperfect,1S,ܐܶܪܗܰܛ,ܐܶܬܪܗܶܛ,ܐܶܪܰܗܶܛ,ܐܶܬܪܰܗܰܛ,ܐܰܪܗܶܛ,ܐܶܬܬܰܪܗܰܛ
imperfect,3MP,ܢܶܪܗܛܽܘܢ,ܢܶܬܪܰܗܛܽܘܢ,ܢܪܰܗܛܽܘܢ,ܢܶܬܪܰܗܛܽܘܢ,ܢܰܪܗܛܽܘܢ,ܢܶܬܬܰܪܗܛܽܘܢ
imperfect,3FP,ܢܶܪ̈ܗܛܳܢ,ܢܶܬܪܰܗܛ̈ܳܢ,ܢܪܰܗܛ̈ܳܢ,ܢܶܬܪܰܗܛ̈ܳܢ,ܢܰܪܗܛ̈ܳܢ,ܢܶܬܬܰܪܗܛ̈ܳܢ
imperfect,2MP,ܬܶܪܗܛܽܘܢ,ܬܶܬܪܰܗܛܽܘܢ,ܬܪܰܗܛܽܘܢ,ܬܶܬܪܰܗܛܽܘܢ,ܬܰܪܗܛܽܘܢ,ܬܶܬܰܪܗܛܽܘܢ
imperfect,2FP,ܬܶܪ̈ܗܛܳܢ,ܬܶܬܪܰܗܛ̈ܳܢ,ܬܪܰܗܛ̈ܳܢ,ܬܶܬܪܰܗܛ̈ܳܢ,ܬܰܪܗܛ̈ܳܢ,ܬܶܬܰܪܗܛ̈ܳܢ
imperfect,1P,ܢܶܪܗܰܛ,ܢܶܬܪܗܶܛ,ܢܪܰܗܶܛ,ܢܶܬܪܰܗܰܛ,ܢܰܪܗܶܛ,ܢܶܬܬܰܪܗܰܛ
imperative,MS,ܪܗܰܛ,ܐܶܬܪܰܗܛ,ܪܰܗܶܛ,ܐܶܬܪܰܗܰܛ,ܐܰܪܗܶܛ,ܐܶܬܬܰܪܗܰܛ
imperative,FS,ܪܗܰܛܝ,ܐܶܬܪܰܗܛܝ,ܪܰܗܶܛܝ,ܐܶܬܪܰܗܰܛܝ,ܐܰܪܗܶܛܝ,ܐܶܬܬܰܪܗܰܛܝ
imperative,MP,ܪܗܰܛܘ,ܐܶܬܪܰܗܛܘ,ܪܰܗܶܛܘ,ܐܶܬܪܰܗܰܛܘ,ܐܰܪܗܶܛܘ,ܐܶܬܬܰܪܗܰܛܘ
imperative,FP,ܪܗܰܤܛ̈ܝ,ܐܶܬܪܰܗܛ̈ܝ,ܪܰܗܶܛ̈ܝ,ܐܶܬܪܰܗܰܛ̈ܝ,ܐܰܪܗܶܛ̈ܝ,ܐܶܬܬܰܪܗܰܛ̈ܝ
active-participle,MS,ܪܳܗܶܛ,ܡܶܬܪܗܶܛ,ܡܪܰܗܶܛ,ܡܶܬܪܰܗܰܛ,ܡܰܪܗܶܛ,ܡܶܬܬܰܪܗܰܛ
active-participle,FS,ܪܳܗܛܳܐ,ܡܶܬܪܰܗܛܳܐ,ܡܪܰܗܛܳܐ,ܡܶܬܪܰܗܛܳܐ,ܡܰܪܗܛܳܐ,ܡܶܬܬܰܪܗܛܳܐ
active-participle,MP,ܪܳܗܛܺܝܢ,ܡܶܬܪܰܗܛܺܝܢ,ܡܪܰܗܛܺܝܢ,ܡܶܬܪܰܗܛܺܝܢ,ܡܰܪܗܛܺܝܢ,ܡܶܬܬܰܪܗܛܺܝܢ
active-participle,FP,ܪܳܗ̈ܛܳܢ,ܡܶܬܪܰܗ̈ܛܳܢ,ܡܪܰܗ̈ܛܳܢ,ܡܶܬܪܰܗܛ̈ܳܢ,ܡܰܪܗܛ̈ܳܢ,ܡܶܬܬܰܪܗܛ̈ܳܢ
passive-participle,MS,ܪܗܺܝܛ,,ܡܪܰܗܰܛ,,ܡܰܪܗܰܛ,
passive-participle,FS,ܪܗܺܝܛܳܐ,,ܡܪܰܗܛܳܐ,,ܡܰܪܗܛܳܐ,
passive-participle,MP,ܪܗܺܝܛܺܝܢ,,ܡܪܰܗܛܺܝܢ,,ܡܰܪܗܛܺܝܢ,
passive-participle,FP,ܪܗܺܝ̈ܛܳܢ,,ܡܪܰܗ̈ܛܳܢ,,ܡܰܪܗ̈ܛܳܢ,
infinitive,,ܡܶܪܗܰܛ,ܡܶܬܪܗܳܛܽܘ,ܡܪܰܗܳܛܽܘ,ܡܶܬܪܰܗܳܛܽܘ,ܡܰܪܗܳܛܽܘ,ܡܶܬܬܰܪܗܳܛܽܘ
