ܪܚܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܪܚܶܡ,´ܶܬܪܚܶܡ,ܪܰܚܶܡ,ܐܶܬܪܰܚܰܡ,ܐܰܪܚܶܡ,ܐܶܬܬܰܪܚܰܡ
perfect,3FS,ܪܶܚܡܰܬ,ܐܶܬܪܰܚܡܰܬ,ܪܰܚܡܰܬ,ܐܶܬܪܰܚܡܰܬ,ܐܰܪܚܡܰܬ,ܐܶܬܬܰܪܚܡܰܬ
perfect,2MS,ܪܚܶܡܬ,ܐܶܬܪܚܶܡܬ,ܪܰܚܶܡܬ,ܐܶܬܪܰܚܰܡܬ,ܐܰܪܚܶܡܬ,ܐܶܬܬܰܪܚܰܡܬ
perfect,2FS,ܪܚܶܡܬܝ,ܐܶܬܪܚܶܡܬܝ,ܪܰܚܶܡܬܝ,ܐܶܬܪܰܚܰܡܬܝ,ܐܰܪܚܶܡܬܝ,ܐܶܬܰܪܚܰܡܬܝ
perfect,1S,ܪܶܚܡܶܬ,ܐܶܬܪܰܚܡܶܬ,ܪܰܚܡܶܬ,ܐܶܬܪܰܚܡܶܬ,ܐܰܪܚܡܶܬ,ܐܶܬܰܪܚܡܶܬ
perfect,3MP,ܪܚܶܡܘ,ܐܶܬܪܚܶܡܘ,ܪܰܚܶܡܘ,ܐܶܬܪܰܚܰܡܘ,ܐܰܪܚܶܡܘ,ܐܶܬܬܰܪܚܰܡܘ
perfect,3FP,ܪܚܶܡ̈ܝ,ܐܶܬܪܚܶܡ̈ܝ,ܪܰܚܶܡ̈ܝ,ܐܶܬܪܰܚܰܡ̈ܝ,ܐܰܪܚܶܡ̈ܝ,ܐܶܬܬܰܪܚܰܡ̈ܝ
perfect,2MP,ܪܚܶܡܬܽܘܢ,ܐܶܬܪܚܶܡܬܽܘܢ,ܪܰܚܶܡܬܽܘܢ,ܐܶܬܪܰܚܰܡܬܽܘܢ,ܐܰܪܚܶܡܬܽܘܢ,ܐܶܬܬܰܪܚܰܡܬܽܘܢ
perfect,2FP,ܪܚܶܡܬ̈ܶܝܢ,ܐܶܬܪܚܶܡ̈ܬܶܝܢ,ܪܰܚܶܡܬ̈ܶܝܢ,ܐܶܬܪܰܚܰܡ̈ܬܶܝܢ,ܐܰܪܚܶܡܬ̈ܶܝܢ,ܐܶܬܬܰܪܚܰܡ̈ܬܶܝܢ
perfect,1P,ܪܚܶܡܢ,ܐܶܬܪܚܶܡܢ,ܪܰܚܶܡܢ,ܐܶܬܪܰܚܰܡܢ,ܐܰܪܚܶܡܢ,ܐܶܬܬܰܪܚܰܡܢ
imperfect,3MS,ܢܶܪܚܰܡ,ܢܶܬܪܚܶܡ,ܢܪܰܚܶܡ,ܢܶܬܪܰܚܰܡ,ܢܰܪܚܶܡ,ܢܶܬܬܰܪܚܰܡ
imperfect,3FS,ܬܶܪܚܰܡ,ܬܶܬܪܚܶܡ,ܬܪܰܚܶܡ,ܬܶܬܪܰܚܰܡ,ܬܰܪܚܶܡ,ܬܶܬܰܪܚܰܡܝ
imperfect,2MS,ܬܶܪܚܰܡ,ܬܶܬܪܚܶܡ,ܬܪܰܚܶܡ,ܬܶܬܪܰܚܰܡ,ܬܰܪܚܶܡ,ܬܶܬܰܪܚܰܡ
imperfect,2FS,ܬܶܪܚܡܺܝܢ,ܬܶܬܪܰܚܡܺܝܢ,ܬܪܰܚܡܺܝܢ,ܬܶܬܪܰܚܡܺܝܢ,ܬܰܪܚܡܺܝܢ,ܬܶܬܰܪܚܡܺܝܢ
imperfect,1S,ܐܶܪܚܰܡ,ܐܶܬܪܚܶܡ,ܐܶܪܰܚܶܡ,ܐܶܬܪܰܚܰܡ,ܐܰܪܚܶܡ,ܐܶܬܬܰܪܚܰܡ
imperfect,3MP,ܢܶܪܚܡܽܘܢ,ܢܶܬܪܰܚܡܽܘܢ,ܢܪܰܚܡܽܘܢ,ܢܶܬܪܰܚܡܽܘܢ,ܢܰܪܚܡܽܘܢ,ܢܶܬܬܰܪܚܡܽܘܢ
imperfect,3FP,ܢܶܪ̈ܚܡܳܢ,ܢܶܬܪܰܚܡ̈ܳܢ,ܢܪܰܚܡ̈ܳܢ,ܢܶܬܪܰܚܡ̈ܳܢ,ܢܰܪܚܡ̈ܳܢ,ܢܶܬܬܰܪܚܡ̈ܳܢ
imperfect,2MP,ܬܶܪܚܡܽܘܢ,ܬܶܬܪܰܚܡܽܘܢ,ܬܪܰܚܡܽܘܢ,ܬܶܬܪܰܚܡܽܘܢ,ܬܰܪܚܡܽܘܢ,ܬܶܬܰܪܚܡܽܘܢ
imperfect,2FP,ܬܶܪ̈ܚܡܳܢ,ܬܶܬܪܰܚܡ̈ܳܢ,ܬܪܰܚܡ̈ܳܢ,ܬܶܬܪܰܚܡ̈ܳܢ,ܬܰܪܚܡ̈ܳܢ,ܬܶܬܰܪܚܡ̈ܳܢ
imperfect,1P,ܢܶܪܚܰܡ,ܢܶܬܪܚܶܡ,ܢܪܰܚܶܡ,ܢܶܬܪܰܚܰܡ,ܢܰܪܚܶܡ,ܢܶܬܬܰܪܚܰܡ
