ܫܒܚ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܒܰܚ,ܐܶܫܬܒܰܚ,ܫܰܒܰܚ,ܐܶܫܬܰܒܰܚ,ܐܰܫܒܰܚ,ܐܶܬܫܰܬܒܰܚ
perfect,3FS,ܫܶܒܚܰܬ,ܐܶܫܬܰܒܚܰܬ,ܫܰܒܚܰܬ,ܐܶܫܬܰܒܚܰܬ,ܐܰܫܒܚܰܬ,ܐܶܬܫܰܬܒܚܰܬ
perfect,2MS,ܫܒܰܚܬ,ܐܶܫܬܒܰܚܬ,ܫܰܒܰܚܬ,ܐܶܫܬܰܒܰܚܬ,ܐܰܫܒܰܚܬ,ܐܶܬܫܰܬܒܰܚܬ
perfect,2FS,ܫܒܰܚܬܝ,ܐܶܫܬܒܰܚܬܝ,ܫܰܒܰܚܬܝ,ܐܶܫܬܰܒܰܚܬܝ,ܐܰܫܒܰܚܬܝ,ܐܶܬܒܫܬܰܚܬܝ
perfect,1CS,ܫܶܒܚܶܬ,ܐܶܫܬܰܒܚܶܬ,ܫܰܒܚܶܬ,ܐܶܫܬܰܒܚܶܬ,ܐܰܫܒܚܶܬ,ܐܶܬܒܫܬܚܶܬ
perfect,3MP,ܫܒܰܚܘ,ܐܶܫܬܒܰܚܘ,ܫܰܒܰܚܘ,ܐܶܫܬܰܒܰܚܘ,ܐܰܫܒܰܚܘ,ܐܶܬܫܰܬܒܰܚܘ
perfect,3FP,ܫܒܰܚ̈ܝ,ܐܶܫܬܒܰܚ̈ܝ,ܫܰܒܰܚ̈ܝ,ܐܶܫܬܰܒܰܚ̈ܝ,ܐܰܫܒܰܚ̈ܝ,ܐܶܬܫܰܬܒܰܚ̈ܝ
perfect,2MP,ܫܒܰܚܬܽܘܢ,ܐܶܫܬܒܰܚܬܽܘܢ,ܫܰܒܰܚܬܽܘܢ,ܐܶܫܬܰܒܰܚܬܽܘܢ,ܐܰܫܒܰܚܬܽܘܢ,ܐܶܬܫܰܬܒܰܚܬܽܘܢ
perfect,2FP,ܫܒܰܚܬ̈ܶܝܢ,ܐܶܫܬܒܰܚ̈ܬܶܝܢ,ܫܰܒܰܚܬ̈ܶܝܢ,ܐܶܫܬܰܒܰܚ̈ܬܶܝܢ,ܐܰܫܒܰܚܬ̈ܶܝܢ,ܐܶܬܫܰܬܒܰܚ̈ܬܶܝܢ
perfect,1CP,ܫܒܰܚܢ,ܐܶܫܬܒܰܚܢ,ܫܰܒܰܚܢ,ܐܶܫܬܰܒܰܚܢ,ܐܰܫܒܰܚܢ,ܐܶܬܫܰܬܒܰܚܢ
imperfect,3MS,ܢܶܫܒܽܘܚ,ܢܶܫܬܒܰܚ,ܢܫܰܒܰܚ,ܢܶܫܬܰܒܰܚ,ܢܰܫܒܰܚ,ܢܶܬܫܰܬܒܰܚ
imperfect,3FS,ܬܶܫܒܽܘܚ,ܬܶܫܬܒܰܚ,ܬܫܰܒܰܚ,ܬܶܫܬܰܒܰܚ,ܬܰܫܒܰܚ,ܬܶܬܫܰܬܒܰܚܝ
imperfect,2MS,ܬܶܫܒܽܘܚ,ܬܶܫܬܒܰܚ,ܬܫܰܒܰܚ,ܬܶܫܬܰܒܰܚ,ܬܰܫܒܰܚ,ܬܶܬܫܰܬܒܰܚ
imperfect,2FS,ܬܶܫܒܚܺܝܢ,ܬܶܫܬܰܒܚܺܝܢ,ܬܫܰܒܚܺܝܢ,ܬܶܫܬܰܒܚܺܝܢ,ܬܰܫܒܚܺܝܢ,ܬܶܬܫܰܬܒܚܺܝܢ
imperfect,1CS,ܐܶܫܒܽܘܚ,ܐܶܫܬܒܰܚ,ܐܶܫܰܒܰܚ,ܐܶܫܬܰܒܰܚ,ܐܰܫܒܰܚ,ܐܶܬܫܰܬܒܰܚ
imperfect,3MP,ܢܶܫܒܚܽܘܢ,ܢܶܫܬܰܒܚܽܘܢ,ܢܫܰܒܚܽܘܢ,ܢܶܫܬܰܒܚܽܘܢ,ܢܰܫܒܚܽܘܢ,ܢܶܬܫܰܬܒܚܽܘܢ
imperfect,3FP,ܢܶܫ̈ܒܚܳܢ,ܢܶܫܬܰܒܚ̈ܳܢ,ܢܫܰܒܚ̈ܳܢ,ܢܶܫܬܰܒܚ̈ܳܢ,ܢܰܫܒܚ̈ܳܢ,ܢܶܬܫܰܬܒܚ̈ܳܢ
imperfect,2MP,ܬܶܫܒܚܽܘܢ,ܬܶܫܬܰܒܚܽܘܢ,ܬܫܰܒܚܽܘܢ,ܬܶܫܬܰܒܚܽܘܢ,ܬܰܫܒܚܽܘܢ,ܬܶܬܫܰܬܒܚܽܘܢ
