ܫܒܩ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܒܰܩ,´ܶܫܬܒܶܩ,ܫܰܒܶܩ,ܐܶܫܬܰܒܰܩ,ܐܰܫܒܶܩ,ܐܶܬܫܰܬܒܰܩ
perfect,3FS,ܫܶܒܩܰܬ,ܐܶܫܬܰܒܩܰܬ,ܫܰܒܩܰܬ,ܐܶܫܬܰܒܩܰܬ,ܐܰܫܒܩܰܬ,ܐܶܬܫܰܬܒܩܰܬ
perfect,2MS,ܫܒܰܩܬ,ܐܶܫܬܒܶܩܬ,ܫܰܒܶܩܬ,ܐܶܫܬܰܒܰܩܬ,ܐܰܫܒܶܩܬ,ܐܶܬܫܰܬܒܰܩܬ
perfect,2FS,ܫܒܰܩܬܝ,ܐܶܫܬܒܶܩܬܝ,ܫܰܒܶܩܬܝ,ܐܶܫܬܰܒܰܩܬܝ,ܐܰܫܒܶܩܬܝ,ܐܶܬܒܫܬܰܩܬܝ
perfect,1CS,ܫܶܒܩܶܬ,ܐܶܫܬܰܒܩܶܬ,ܫܰܒܩܶܬ,ܐܶܫܬܰܒܩܶܬ,ܐܰܫܒܩܶܬ,ܐܶܬܒܫܬܩܶܬ
perfect,3MP,ܫܒܰܩܘ,ܐܶܫܬܒܶܩܘ,ܫܰܒܶܩܘ,ܐܶܫܬܰܒܰܩܘ,ܐܰܫܒܶܩܘ,ܐܶܬܫܰܬܒܰܩܘ
perfect,3FP,ܫܒܰܩ̈ܝ,ܐܶܫܬܒܶܩ̈ܝ,ܫܰܒܶܩ̈ܝ,ܐܶܫܬܰܒܰܩ̈ܝ,ܐܰܫܒܶܩ̈ܝ,ܐܶܬܫܰܬܒܰܩ̈ܝ
perfect,2MP,ܫܒܰܩܬܽܘܢ,ܐܶܫܬܒܶܩܬܽܘܢ,ܫܰܒܶܩܬܽܘܢ,ܐܶܫܬܰܒܰܩܬܽܘܢ,ܐܰܫܒܶܩܬܽܘܢ,ܐܶܬܫܰܬܒܰܩܬܽܘܢ
perfect,2FP,ܫܒܰܩܬ̈ܶܝܢ,ܐܶܫܬܒܶܩ̈ܬܶܝܢ,ܫܰܒܶܩܬ̈ܶܝܢ,ܐܶܫܬܰܒܰܩ̈ܬܶܝܢ,ܐܰܫܒܶܩܬ̈ܶܝܢ,ܐܶܬܫܰܬܒܰܩ̈ܬܶܝܢ
