ܫܕܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܕܰܪ,ܐܶܫܬܕܰܪ,ܫܰܕܰܪ,ܐܶܫܬܰܕܰܪ,ܐܰܫܕܰܪ,ܐܶܬܫܰܬܕܰܪ
perfect,3FS,ܫܶܕܪܰܬ,ܐܶܫܬܰܕܪܰܬ,ܫܰܕܪܰܬ,ܐܶܫܬܰܕܪܰܬ,ܐܰܫܕܪܰܬ,ܐܶܬܫܰܬܕܪܰܬ
perfect,2MS,ܫܕܰܪܬ,ܐܶܫܬܕܰܪܬ,ܫܰܕܰܪܬ,ܐܶܫܬܰܕܰܪܬ,ܐܰܫܕܰܪܬ,ܐܶܬܫܰܬܕܰܪܬ
perfect,2FS,ܫܕܰܪܬܝ,ܐܶܫܬܕܰܪܬܝ,ܫܰܕܰܪܬܝ,ܐܶܫܬܰܕܰܪܬܝ,ܐܰܫܕܰܪܬܝ,ܐܶܬܕܫܬܰܪܬܝ
perfect,1CS,ܫܶܕܪܶܬ,ܐܶܫܬܰܕܪܶܬ,ܫܰܕܪܶܬ,ܐܶܫܬܰܕܪܶܬ,ܐܰܫܕܪܶܬ,ܐܶܬܕܫܬܪܶܬ
perfect,3MP,ܫܕܰܪܘ,ܐܶܫܬܕܰܪܘ,ܫܰܕܰܪܘ,ܐܶܫܬܰܕܰܪܘ,ܐܰܫܕܰܪܘ,ܐܶܬܫܰܬܕܰܪܘ
perfect,3FP,ܫܕܰܪ̈ܝ,ܐܶܫܬܕܰܪ̈ܝ,ܫܰܕܰܪ̈ܝ,ܐܶܫܬܰܕܰܪ̈ܝ,ܐܰܫܕܰܪ̈ܝ,ܐܶܬܫܰܬܕܰܪ̈ܝ
perfect,2MP,ܫܕܰܪܬܽܘܢ,ܐܶܫܬܕܰܪܬܽܘܢ,ܫܰܕܰܪܬܽܘܢ,ܐܶܫܬܰܕܰܪܬܽܘܢ,ܐܰܫܕܰܪܬܽܘܢ,ܐܶܬܫܰܬܕܰܪܬܽܘܢ
perfect,2FP,ܫܕܰܪܬ̈ܶܝܢ,ܐܶܫܬܕܰܪ̈ܬܶܝܢ,ܫܰܕܰܪܬ̈ܶܝܢ,ܐܶܫܬܰܕܰܪ̈ܬܶܝܢ,ܐܰܫܕܰܪܬ̈ܶܝܢ,ܐܶܬܫܰܬܕܰܪ̈ܬܶܝܢ
perfect,1CP,ܫܕܰܪܢ,ܐܶܫܬܕܰܪܢ,ܫܰܕܰܪܢ,ܐܶܫܬܰܕܰܪܢ,ܐܰܫܕܰܪܢ,ܐܶܬܫܰܬܕܰܪܢ
imperfect,3MS,ܢܶܫܕܽܘܪ,ܢܶܫܬܕܰܪ,ܢܫܰܕܰܪ,ܢܶܫܬܰܕܰܪ,ܢܰܫܕܰܪ,ܢܶܬܫܰܬܕܰܪ
imperfect,3FS,ܬܶܫܕܽܘܪ,ܬܶܫܬܕܰܪ,ܬܫܰܕܰܪ,ܬܶܫܬܰܕܰܪ,ܬܰܫܕܰܪ,ܬܶܬܫܰܬܕܰܪܝ
imperfect,2MS,ܬܶܫܕܽܘܪ,ܬܶܫܬܕܰܪ,ܬܫܰܕܰܪ,ܬܶܫܬܰܕܰܪ,ܬܰܫܕܰܪ,ܬܶܬܫܰܬܕܰܪ
imperfect,2FS,ܬܶܫܕܪܺܝܢ,ܬܶܫܬܰܕܪܺܝܢ,ܬܫܰܕܪܺܝܢ,ܬܶܫܬܰܕܪܺܝܢ,ܬܰܫܕܪܺܝܢ,ܬܶܬܫܰܬܕܪܺܝܢ
imperfect,1CS,ܐܶܫܕܽܘܪ,ܐܶܫܬܕܰܪ,ܐܶܫܰܕܰܪ,ܐܶܫܬܰܕܰܪ,ܐܰܫܕܰܪ,ܐܶܬܫܰܬܕܰܪ
imperfect,3MP,ܢܶܫܕܪܽܘܢ,ܢܶܫܬܰܕܪܽܘܢ,ܢܫܰܕܪܽܘܢ,ܢܶܫܬܰܕܪܽܘܢ,ܢܰܫܕܪܽܘܢ,ܢܶܬܫܰܬܕܪܽܘܢ
imperfect,3FP,ܢܶܫ̈ܕܪܳܢ,ܢܶܫܬܰܕܪ̈ܳܢ,ܢܫܰܕܪ̈ܳܢ,ܢܶܫܬܰܕܪ̈ܳܢ,ܢܰܫܕܪ̈ܳܢ,ܢܶܬܫܰܬܕܪ̈ܳܢ
imperfect,2MP,ܬܶܫܕܪܽܘܢ,ܬܶܫܬܰܕܪܽܘܢ,ܬܫܰܕܪܽܘܢ,ܬܶܫܬܰܕܪܽܘܢ,ܬܰܫܕܪܽܘܢ,ܬܶܬܫܰܬܕܪܽܘܢ
imperfect,2FP,ܬܶܫ̈ܕܪܳܢ,ܬܶܫܬܰܕܪ̈ܳܢ,ܬܫܰܕܪ̈ܳܢ,ܬܶܫܬܰܕܪ̈ܳܢ,ܬܰܫܕܪ̈ܳܢ,ܬܶܬܫܰܬܕܪ̈ܳܢ
imperfect,1CP,ܢܶܫܕܽܘܪ,ܢܶܫܬܕܰܪ,ܢܫܰܕܰܪ,ܢܶܫܬܰܕܰܪ,ܢܰܫܕܰܪ,ܢܶܬܫܰܬܕܰܪ
imperative,MS,ܫܕܽܘܪ,ܐܶܫܬܰܕܪ,ܫܰܕܰܪ,ܐܶܫܬܰܕܰܪ,ܐܰܫܕܰܪ,ܐܶܬܫܰܬܕܰܪ
imperative,FS,ܫܕܽܘܪܝ,ܐܶܫܬܰܕܪܝ,ܫܰܕܰܪܝ,ܐܶܫܬܰܕܰܪܝ,ܐܰܫܕܰܪܝ,ܐܶܬܫܰܬܕܰܪܝ
imperative,MP,ܫܕܽܘܪܘ,ܐܶܫܬܰܕܪܘ,ܫܰܕܰܪܘ,ܐܶܫܬܰܕܰܪܘ,ܐܰܫܕܰܪܘ,ܐܶܬܫܰܬܕܰܪܘ
imperative,FP,ܫܕܽܘܪ̈ܝ,ܐܶܫܬܰܕܪ̈ܝ,ܫܰܕܰܪ̈ܝ,ܐܶܫܬܰܕܰܪ̈ܝ,ܐܰܫܕܰܪ̈ܝ,ܐܶܬܫܰܬܕܰܪ̈ܝ
active-participle,MS,ܫܳܕܰܪ,ܡܶܫܬܕܰܪ,ܡܫܰܕܰܪ,ܡܶܫܬܰܕܰܪ,ܡܰܫܕܰܪ,ܡܶܬܫܰܬܕܰܪ
active-participle,FS,ܫܳܕܪܳܐ,ܡܶܫܬܰܕܪܳܐ,ܡܫܰܕܪܳܐ,ܡܶܫܬܰܕܪܳܐ,ܡܰܫܕܪܳܐ,ܡܶܬܫܰܬܕܪܳܐ
active-participle,MP,ܫܳܕܪܺܝܢ,ܡܶܫܬܰܕܪܺܝܢ,ܡܫܰܕܪܺܝܢ,ܡܶܫܬܰܕܪܺܝܢ,ܡܰܫܕܪܺܝܢ,ܡܶܬܫܰܬܕܪܺܝܢ
active-participle,FP,ܫܳܕ̈ܪܳܢ,ܡܶܫܬܰܕܪ̈ܳܢ,ܡܫܰܕܪ̈ܳܢ,ܡܶܫܬܰܕܪ̈ܳܢ,ܡܰܫܕܪ̈ܳܢ,ܡܶܬܫܰܬܕܪ̈ܳܢ
passive-participle,MS,ܫܕܺܝܪ,,ܡܫܰܕܰܪ,,ܡܰܫܕܰܪ,
passive-participle,FS,ܫܕܺܝܪܳܐ,,ܡܫܰܕܪܳܐ,,ܡܰܫܕܪܳܐ,
passive-participle,MP,ܫܕܺܝܪܺܝܢ,,ܡܫܰܕܪܺܝܢ,,ܡܰܫܕܪܺܝܢ,
