ܫܗܪ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܗܰܪ,ܐܶܫܬܗܰܪ,ܫܰܗܰܪ,ܐܶܫܬܰܗܰܪ,ܐܰܫܗܰܪ,ܐܶܬܫܰܬܗܰܪ
perfect,3FS,ܫܶܗܪܰܬ,ܐܶܫܬܰܗܪܰܬ,ܫܰܗܪܰܬ,ܐܶܫܬܰܗܪܰܬ,ܐܰܫܗܪܰܬ,ܐܶܬܫܰܬܗܪܰܬ
perfect,2MS,ܫܗܰܪܬ,ܐܶܫܬܗܰܪܬ,ܫܰܗܰܪܬ,ܐܶܫܬܰܗܰܪܬ,ܐܰܫܗܰܪܬ,ܐܶܬܫܰܬܗܰܪܬ
perfect,2FS,ܫܗܰܪܬܝ,ܐܶܫܬܗܰܪܬܝ,ܫܰܗܰܪܬܝ,ܐܶܫܬܰܗܰܪܬܝ,ܐܰܫܗܰܪܬܝ,ܐܶܬܗܫܬܰܪܬܝ
perfect,1CS,ܫܶܗܪܶܬ,ܐܶܫܬܰܗܪܶܬ,ܫܰܗܪܶܬ,ܐܶܫܬܰܗܪܶܬ,ܐܰܫܗܪܶܬ,ܐܶܬܗܫܬܪܶܬ
perfect,3MP,ܫܗܰܪܘ,ܐܶܫܬܗܰܪܘ,ܫܰܗܰܪܘ,ܐܶܫܬܰܗܰܪܘ,ܐܰܫܗܰܪܘ,ܐܶܬܫܰܬܗܰܪܘ
perfect,3FP,ܫܗܰܪ̈ܝ,ܐܶܫܬܗܰܪ̈ܝ,ܫܰܗܰܪ̈ܝ,ܐܶܫܬܰܗܰܪ̈ܝ,ܐܰܫܗܰܪ̈ܝ,ܐܶܬܫܰܬܗܰܪ̈ܝ
perfect,2MP,ܫܗܰܪܬܽܘܢ,ܐܶܫܬܗܰܪܬܽܘܢ,ܫܰܗܰܪܬܽܘܢ,ܐܶܫܬܰܗܰܪܬܽܘܢ,ܐܰܫܗܰܪܬܽܘܢ,ܐܶܬܫܰܬܗܰܪܬܽܘܢ
perfect,2FP,ܫܗܰܪܬ̈ܶܝܢ,ܐܶܫܬܗܰܪ̈ܬܶܝܢ,ܫܰܗܰܪܬ̈ܶܝܢ,ܐܶܫܬܰܗܰܪ̈ܬܶܝܢ,ܐܰܫܗܰܪܬ̈ܶܝܢ,ܐܶܬܫܰܬܗܰܪ̈ܬܶܝܢ
perfect,1CP,ܫܗܰܪܢ,ܐܶܫܬܗܰܪܢ,ܫܰܗܰܪܢ,ܐܶܫܬܰܗܰܪܢ,ܐܰܫܗܰܪܢ,ܐܶܬܫܰܬܗܰܪܢ
imperfect,3MS,ܢܶܫܗܽܘܪ,ܢܶܫܬܗܰܪ,ܢܫܰܗܰܪ,ܢܶܫܬܰܗܰܪ,ܢܰܫܗܰܪ,ܢܶܬܫܰܬܗܰܪ
imperfect,3FS,ܬܶܫܗܽܘܪ,ܬܶܫܬܗܰܪ,ܬܫܰܗܰܪ,ܬܶܫܬܰܗܰܪ,ܬܰܫܗܰܪ,ܬܶܬܫܰܬܗܰܪܝ
imperfect,2MS,ܬܶܫܗܽܘܪ,ܬܶܫܬܗܰܪ,ܬܫܰܗܰܪ,ܬܶܫܬܰܗܰܪ,ܬܰܫܗܰܪ,ܬܶܬܫܰܬܗܰܪ
imperfect,2FS,ܬܶܫܗܪܺܝܢ,ܬܶܫܬܰܗܪܺܝܢ,ܬܫܰܗܪܺܝܢ,ܬܶܫܬܰܗܪܺܝܢ,ܬܰܫܗܪܺܝܢ,ܬܶܬܫܰܬܗܪܺܝܢ
imperfect,1CS,ܐܶܫܗܽܘܪ,ܐܶܫܬܗܰܪ,ܐܶܫܰܗܰܪ,ܐܶܫܬܰܗܰܪ,ܐܰܫܗܰܪ,ܐܶܬܫܰܬܗܰܪ
imperfect,3MP,ܢܶܫܗܪܽܘܢ,ܢܶܫܬܰܗܪܽܘܢ,ܢܫܰܗܪܽܘܢ,ܢܶܫܬܰܗܪܽܘܢ,ܢܰܫܗܪܽܘܢ,ܢܶܬܫܰܬܗܪܽܘܢ
imperfect,3FP,ܢܶܫ̈ܗܪܳܢ,ܢܶܫܬܰܗܪ̈ܳܢ,ܢܫܰܗܪ̈ܳܢ,ܢܶܫܬܰܗܪ̈ܳܢ,ܢܰܫܗܪ̈ܳܢ,ܢܶܬܫܰܬܗܪ̈ܳܢ
imperfect,2MP,ܬܶܫܗܪܽܘܢ,ܬܶܫܬܰܗܪܽܘܢ,ܬܫܰܗܪܽܘܢ,ܬܶܫܬܰܗܪܽܘܢ,ܬܰܫܗܪܽܘܢ,ܬܶܬܫܰܬܗܪܽܘܢ
imperfect,2FP,ܬܶܫ̈ܗܪܳܢ,ܬܶܫܬܰܗܪ̈ܳܢ,ܬܫܰܗܪ̈ܳܢ,ܬܶܫܬܰܗܪ̈ܳܢ,ܬܰܫܗܪ̈ܳܢ,ܬܶܬܫܰܬܗܪ̈ܳܢ
imperfect,1CP,ܢܶܫܗܽܘܪ,ܢܶܫܬܗܰܪ,ܢܫܰܗܰܪ,ܢܶܫܬܰܗܰܪ,ܢܰܫܗܰܪ,ܢܶܬܫܰܬܗܰܪ
imperative,MS,ܫܗܽܘܪ,ܐܶܫܬܰܗܪ,ܫܰܗܰܪ,ܐܶܫܬܰܗܰܪ,ܐܰܫܗܰܪ,ܐܶܬܫܰܬܗܰܪ
imperative,FS,ܫܗܽܘܪܝ,ܐܶܫܬܰܗܪܝ,ܫܰܗܰܪܝ,ܐܶܫܬܰܗܰܪܝ,ܐܰܫܗܰܪܝ,ܐܶܬܫܰܬܗܰܪܝ
imperative,MP,ܫܗܽܘܪܘ,ܐܶܫܬܰܗܪܘ,ܫܰܗܰܪܘ,ܐܶܫܬܰܗܰܪܘ,ܐܰܫܗܰܪܘ,ܐܶܬܫܰܬܗܰܪܘ
imperative,FP,ܫܗܽܘܪ̈ܝ,ܐܶܫܬܰܗܪ̈ܝ,ܫܰܗܰܪ̈ܝ,ܐܶܫܬܰܗܰܪ̈ܝ,ܐܰܫܗܰܪ̈ܝ,ܐܶܬܫܰܬܗܰܪ̈ܝ
active-participle,MS,ܫܳܗܰܪ,ܡܶܫܬܗܰܪ,ܡܫܰܗܰܪ,ܡܶܫܬܰܗܰܪ,ܡܰܫܗܰܪ,ܡܶܬܫܰܬܗܰܪ
