ܫܠܚ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܠܰܚ,ܐܶܫܬܠܰܚ,ܫܰܠܰܚ,ܐܶܫܬܰܠܰܚ,ܐܰܫܠܰܚ,ܐܶܬܫܰܬܠܰܚ
perfect,3FS,ܫܶܠܚܰܬ,ܐܶܫܬܰܠܚܰܬ,ܫܰܠܚܰܬ,ܐܶܫܬܰܠܚܰܬ,ܐܰܫܠܚܰܬ,ܐܶܬܫܰܬܠܚܰܬ
perfect,2MS,ܫܠܰܚܬ,ܐܶܫܬܠܰܚܬ,ܫܰܠܰܚܬ,ܐܶܫܬܰܠܰܚܬ,ܐܰܫܠܰܚܬ,ܐܶܬܫܰܬܠܰܚܬ
perfect,2FS,ܫܠܰܚܬܝ,ܐܶܫܬܠܰܚܬܝ,ܫܰܠܰܚܬܝ,ܐܶܫܬܰܠܰܚܬܝ,ܐܰܫܠܰܚܬܝ,ܐܶܬܠܫܬܰܚܬܝ
perfect,1S,ܫܶܠܚܶܬ,ܐܶܫܬܰܠܚܶܬ,ܫܰܠܚܶܬ,ܐܶܫܬܰܠܚܶܬ,ܐܰܫܠܚܶܬ,ܐܶܬܠܫܬܚܶܬ
perfect,3MP,ܫܠܰܚܘ,ܐܶܫܬܠܰܚܘ,ܫܰܠܰܚܘ,ܐܶܫܬܰܠܰܚܘ,ܐܰܫܠܰܚܘ,ܐܶܬܫܰܬܠܰܚܘ
perfect,3FP,ܫܠܰܚ̈ܝ,ܐܶܫܬܠܰܚ̈ܝ,ܫܰܠܰܚ̈ܝ,ܐܶܫܬܰܠܰܚ̈ܝ,ܐܰܫܠܰܚ̈ܝ,ܐܶܬܫܰܬܠܰܚ̈ܝ
perfect,2MP,ܫܠܰܚܬܽܘܢ,ܐܶܫܬܠܰܚܬܽܘܢ,ܫܰܠܰܚܬܽܘܢ,ܐܶܫܬܰܠܰܚܬܽܘܢ,ܐܰܫܠܰܚܬܽܘܢ,ܐܶܬܫܰܬܠܰܚܬܽܘܢ
perfect,2FP,ܫܠܰܚܬ̈ܶܝܢ,ܐܶܫܬܠܰܚ̈ܬܶܝܢ,ܫܰܠܰܚܬ̈ܶܝܢ,ܐܶܫܬܰܠܰܚ̈ܬܶܝܢ,ܐܰܫܠܰܚܬ̈ܶܝܢ,ܐܶܬܫܰܬܠܰܚ̈ܬܶܝܢ
