ܫܠܡ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܠܶܡ,´ܶܫܬܠܶܡ,ܫܰܠܶܡ,ܐܶܫܬܰܠܰܡ,ܐܰܫܠܶܡ,ܐܶܬܫܰܬܠܰܡ
perfect,3FS,ܫܶܠܡܰܬ,ܐܶܫܬܰܠܡܰܬ,ܫܰܠܡܰܬ,ܐܶܫܬܰܠܡܰܬ,ܐܰܫܠܡܰܬ,ܐܶܬܫܰܬܠܡܰܬ
perfect,2MS,ܫܠܶܡܬ,ܐܶܫܬܠܶܡܬ,ܫܰܠܶܡܬ,ܐܶܫܬܰܠܰܡܬ,ܐܰܫܠܶܡܬ,ܐܶܬܫܰܬܠܰܡܬ
perfect,2FS,ܫܠܶܡܬܝ,ܐܶܫܬܠܶܡܬܝ,ܫܰܠܶܡܬܝ,ܐܶܫܬܰܠܰܡܬܝ,ܐܰܫܠܶܡܬܝ,ܐܶܬܠܫܬܰܡܬܝ
perfect,1S,ܫܶܠܡܶܬ,ܐܶܫܬܰܠܡܶܬ,ܫܰܠܡܶܬ,ܐܶܫܬܰܠܡܶܬ,ܐܰܫܠܡܶܬ,ܐܶܬܠܫܬܡܶܬ
perfect,3MP,ܫܠܶܡܘ,ܐܶܫܬܠܶܡܘ,ܫܰܠܶܡܘ,ܐܶܫܬܰܠܰܡܘ,ܐܰܫܠܶܡܘ,ܐܶܬܫܰܬܠܰܡܘ
perfect,3FP,ܫܠܶܡ̈ܝ,ܐܶܫܬܠܶܡ̈ܝ,ܫܰܠܶܡ̈ܝ,ܐܶܫܬܰܠܰܡ̈ܝ,ܐܰܫܠܶܡ̈ܝ,ܐܶܬܫܰܬܠܰܡ̈ܝ
perfect,2MP,ܫܠܶܡܬܽܘܢ,ܐܶܫܬܠܶܡܬܽܘܢ,ܫܰܠܶܡܬܽܘܢ,ܐܶܫܬܰܠܰܡܬܽܘܢ,ܐܰܫܠܶܡܬܽܘܢ,ܐܶܬܫܰܬܠܰܡܬܽܘܢ
perfect,2FP,ܫܠܶܡܬ̈ܶܝܢ,ܐܶܫܬܠܶܡ̈ܬܶܝܢ,ܫܰܠܶܡܬ̈ܶܝܢ,ܐܶܫܬܰܠܰܡ̈ܬܶܝܢ,ܐܰܫܠܶܡܬ̈ܶܝܢ,ܐܶܬܫܰܬܠܰܡ̈ܬܶܝܢ
perfect,1P,ܫܠܶܡܢ,ܐܶܫܬܠܶܡܢ,ܫܰܠܶܡܢ,ܐܶܫܬܰܠܰܡܢ,ܐܰܫܠܶܡܢ,ܐܶܬܫܰܬܠܰܡܢ
imperfect,3MS,ܢܶܫܠܰܡ,ܢܶܫܬܠܶܡ,ܢܫܰܠܶܡ,ܢܶܫܬܰܠܰܡ,ܢܰܫܠܶܡ,ܢܶܬܫܰܬܠܰܡ
imperfect,3FS,ܬܶܫܠܰܡ,ܬܶܫܬܠܶܡ,ܬܫܰܠܶܡ,ܬܶܫܬܰܠܰܡ,ܬܰܫܠܶܡ,ܬܶܬܠܫܬܰܡܝ
imperfect,2MS,ܬܶܫܠܰܡ,ܬܶܫܬܠܶܡ,ܬܫܰܠܶܡ,ܬܶܫܬܰܠܰܡ,ܬܰܫܠܶܡ,ܬܶܬܠܫܬܰܡ
imperfect,2FS,ܬܶܫܠܡܺܝܢ,ܬܶܫܬܰܠܡܺܝܢ,ܬܫܰܠܡܺܝܢ,ܬܶܫܬܰܠܡܺܝܢ,ܬܰܫܠܡܺܝܢ,ܬܶܬܠܫܬܡܺܝܢ
imperfect,1S,ܐܶܫܠܰܡ,ܐܶܫܬܠܶܡ,ܐܶܫܰܠܶܡ,ܐܶܫܬܰܠܰܡ,ܐܰܫܠܶܡ,ܐܶܬܫܰܬܠܰܡ
imperfect,3MP,ܢܶܫܠܡܽܘܢ,ܢܶܫܬܰܠܡܽܘܢ,ܢܫܰܠܡܽܘܢ,ܢܶܫܬܰܠܡܽܘܢ,ܢܰܫܠܡܽܘܢ,ܢܶܬܫܰܬܠܡܽܘܢ
imperfect,3FP,ܢܶܫ̈ܠܡܳܢ,ܢܶܫܬܰܠܡ̈ܳܢ,ܢܫܰܠܡ̈ܳܢ,ܢܶܫܬܰܠܡ̈ܳܢ,ܢܰܫܠܡ̈ܳܢ,ܢܶܬܫܰܬܠܡ̈ܳܢ
imperfect,2MP,ܬܶܫܠܡܽܘܢ,ܬܶܫܬܰܠܡܽܘܢ,ܬܫܰܠܡܽܘܢ,ܬܶܫܬܰܠܡܽܘܢ,ܬܰܫܠܡܽܘܢ,ܬܶܬܠܫܬܡܽܘܢ
imperfect,2FP,ܬܶܫ̈ܠܡܳܢ,ܬܶܫܬܰܠܡ̈ܳܢ,ܬܫܰܠܡ̈ܳܢ,ܬܶܫܬܰܠܡ̈ܳܢ,ܬܰܫܠܡ̈ܳܢ,ܬܶܬܠܫܬܡ̈ܳܢ
imperfect,1P,ܢܶܫܠܰܡ,ܢܶܫܬܠܶܡ,ܢܫܰܠܶܡ,ܢܶܫܬܰܠܰܡ,ܢܰܫܠܶܡ,ܢܶܬܫܰܬܠܰܡ
imperative,MS,ܫܠܰܡ,ܐܶܫܬܰܠܡ,ܫܰܠܶܡ,ܐܶܫܬܰܠܰܡ,ܐܰܫܠܶܡ,ܐܶܬܫܰܬܠܰܡ
imperative,FS,ܫܠܰܡܝ,ܐܶܫܬܰܠܡܝ,ܫܰܠܶܡܝ,ܐܶܫܬܰܠܰܡܝ,ܐܰܫܠܶܡܝ,ܐܶܬܫܰܬܠܰܡܝ
imperative,MP,ܫܠܰܡܘ,ܐܶܫܬܰܠܡܘ,ܫܰܠܶܡܘ,ܐܶܫܬܰܠܰܡܘ,ܐܰܫܠܶܡܘ,ܐܶܬܫܰܬܠܰܡܘ
imperative,FP,ܫܠܰܡ̈ܝ,ܐܶܫܬܰܠܡ̈ܝ,ܫܰܠܶܡ̈ܝ,ܐܶܫܬܰܠܰܡ̈ܝ,ܐܰܫܠܶܡ̈ܝ,ܐܶܬܫܰܬܠܰܡ̈ܝ
active-participle,MS,ܫܳܠܶܡ,ܡܶܫܬܠܶܡ,ܡܫܰܠܶܡ,ܡܶܫܬܰܠܰܡ,ܡܰܫܠܶܡ,ܡܶܬܫܰܬܠܰܡ
active-participle,FS,ܫܳܠܡܳܐ,ܡܶܫܬܰܠܡܳܐ,ܡܫܰܠܡܳܐ,ܡܶܫܬܰܠܡܳܐ,ܡܰܫܠܡܳܐ,ܡܶܬܫܰܬܠܡܳܐ
active-participle,MP,ܫܳܠܡܺܝܢ,ܡܶܫܬܰܠܡܺܝܢ,ܡܫܰܠܡܺܝܢ,ܡܶܫܬܰܠܡܺܝܢ,ܡܰܫܠܡܺܝܢ,ܡܶܬܫܰܬܠܡܺܝܢ
active-participle,FP,ܫܳܠ̈ܡܳܢ,ܡܶܫܬܰܠ̈ܡܳܢ,ܡܫܰܠ̈ܡܳܢ,ܡܶܫܬܰܠܡ̈ܳܢ,ܡܰܫܠܡ̈ܳܢ,ܡܶܬܫܰܬܠܡ̈ܳܢ
