ܫܡܥ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܡܰܥ,ܐܶܫܬܡܰܥ,ܫܰܡܰܥ,ܐܶܫܬܰܡܰܥ,ܐܰܫܡܰܥ,ܐܶܬܫܰܬܡܰܥ
perfect,3FS,ܫܶܡܥܰܬ,ܐܶܫܬܰܡܥܰܬ,ܫܰܡܥܰܬ,ܐܶܫܬܰܡܥܰܬ,ܐܰܫܡܥܰܬ,ܐܶܬܫܰܬܡܥܰܬ
perfect,2MS,ܫܡܰܥܬ,ܐܶܫܬܡܰܥܬ,ܫܰܡܰܥܬ,ܐܶܫܬܰܡܰܥܬ,ܐܰܫܡܰܥܬ,ܐܶܬܫܰܬܡܰܥܬ
perfect,2FS,ܫܡܰܥܬܝ,ܐܶܫܬܡܰܥܬܝ,ܫܰܡܰܥܬܝ,ܐܶܫܬܰܡܰܥܬܝ,ܐܰܫܡܰܥܬܝ,ܐܶܬܡܫܬܰܥܬܝ
perfect,1CS,ܫܶܡܥܶܬ,ܐܶܫܬܰܡܥܶܬ,ܫܰܡܥܶܬ,ܐܶܫܬܰܡܥܶܬ,ܐܰܫܡܥܶܬ,ܐܶܬܡܫܬܥܶܬ
perfect,3MP,ܫܡܰܥܘ,ܐܶܫܬܡܰܥܘ,ܫܰܡܰܥܘ,ܐܶܫܬܰܡܰܥܘ,ܐܰܫܡܰܥܘ,ܐܶܬܫܰܬܡܰܥܘ
perfect,3FP,ܫܡܰܥ̈ܝ,ܐܶܫܬܡܰܥ̈ܝ,ܫܰܡܰܥ̈ܝ,ܐܶܫܬܰܡܰܥ̈ܝ,ܐܰܫܡܰܥ̈ܝ,ܐܶܬܫܰܬܡܰܥ̈ܝ
perfect,2MP,ܫܡܰܥܬܽܘܢ,ܐܶܫܬܡܰܥܬܽܘܢ,ܫܰܡܰܥܬܽܘܢ,ܐܶܫܬܰܡܰܥܬܽܘܢ,ܐܰܫܡܰܥܬܽܘܢ,ܐܶܬܫܰܬܡܰܥܬܽܘܢ
perfect,2FP,ܫܡܰܥܬ̈ܶܝܢ,ܐܶܫܬܡܰܥ̈ܬܶܝܢ,ܫܰܡܰܥܬ̈ܶܝܢ,ܐܶܫܬܰܡܰܥ̈ܬܶܝܢ,ܐܰܫܡܰܥܬ̈ܶܝܢ,ܐܶܬܫܰܬܡܰܥ̈ܬܶܝܢ
