ܫܡܫ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܡܰܫ,´ܶܫܬܡܶܫ,ܫܰܡܶܫ,ܐܶܫܬܰܡܰܫ,ܐܰܫܡܶܫ,ܐܶܬܫܰܬܡܰܫ
perfect,3FS,ܫܶܡܫܰܬ,ܐܶܫܬܰܡܫܰܬ,ܫܰܡܫܰܬ,ܐܶܫܬܰܡܫܰܬ,ܐܰܫܡܫܰܬ,ܐܶܬܫܰܬܡܫܰܬ
perfect,2MS,ܫܡܰܫܬ,ܐܶܫܬܡܶܫܬ,ܫܰܡܶܫܬ,ܐܶܫܬܰܡܰܫܬ,ܐܰܫܡܶܫܬ,ܐܶܬܫܰܬܡܰܫܬ
perfect,2FS,ܫܡܰܫܬܝ,ܐܶܫܬܡܶܫܬܝ,ܫܰܡܶܫܬܝ,ܐܶܫܬܰܡܰܫܬܝ,ܐܰܫܡܶܫܬܝ,ܐܶܬܡܫܬܰܫܬܝ
perfect,1CS,ܫܶܡܫܶܬ,ܐܶܫܬܰܡܫܶܬ,ܫܰܡܫܶܬ,ܐܶܫܬܰܡܫܶܬ,ܐܰܫܡܫܶܬ,ܐܶܬܡܫܬܫܶܬ
perfect,3MP,ܫܡܰܫܘ,ܐܶܫܬܡܶܫܘ,ܫܰܡܶܫܘ,ܐܶܫܬܰܡܰܫܘ,ܐܰܫܡܶܫܘ,ܐܶܬܫܰܬܡܰܫܘ
perfect,3FP,ܫܡܰܫ̈ܝ,ܐܶܫܬܡܶܫ̈ܝ,ܫܰܡܶܫ̈ܝ,ܐܶܫܬܰܡܰܫ̈ܝ,ܐܰܫܡܶܫ̈ܝ,ܐܶܬܫܰܬܡܰܫ̈ܝ
perfect,2MP,ܫܡܰܫܬܽܘܢ,ܐܶܫܬܡܶܫܬܽܘܢ,ܫܰܡܶܫܬܽܘܢ,ܐܶܫܬܰܡܰܫܬܽܘܢ,ܐܰܫܡܶܫܬܽܘܢ,ܐܶܬܫܰܬܡܰܫܬܽܘܢ
perfect,2FP,ܫܡܰܫܬ̈ܶܝܢ,ܐܶܫܬܡܶܫ̈ܬܶܝܢ,ܫܰܡܶܫܬ̈ܶܝܢ,ܐܶܫܬܰܡܰܫ̈ܬܶܝܢ,ܐܰܫܡܶܫܬ̈ܶܝܢ,ܐܶܬܫܰܬܡܰܫ̈ܬܶܝܢ
perfect,1CP,ܫܡܰܫܢ,ܐܶܫܬܡܶܫܢ,ܫܰܡܶܫܢ,ܐܶܫܬܰܡܰܫܢ,ܐܰܫܡܶܫܢ,ܐܶܬܫܰܬܡܰܫܢ
imperfect,3MS,ܢܶܫܡܽܘܫ,ܢܶܫܬܡܶܫ,ܢܫܰܡܶܫ,ܢܶܫܬܰܡܰܫ,ܢܰܫܡܶܫ,ܢܶܬܫܰܬܡܰܫ
imperfect,3FS,ܬܶܫܡܽܘܫ,ܬܶܫܬܡܶܫ,ܬܫܰܡܶܫ,ܬܶܫܬܰܡܰܫ,ܬܰܫܡܶܫ,ܬܶܬܡܫܬܰܫܝ
imperfect,2MS,ܬܶܫܡܽܘܫ,ܬܶܫܬܡܶܫ,ܬܫܰܡܶܫ,ܬܶܫܬܰܡܰܫ,ܬܰܫܡܶܫ,ܬܶܬܡܫܬܰܫ
imperfect,2FS,ܬܶܫܡܫܺܝܢ,ܬܶܫܬܰܡܫܺܝܢ,ܬܫܰܡܫܺܝܢ,ܬܶܫܬܰܡܫܺܝܢ,ܬܰܫܡܫܺܝܢ,ܬܶܬܡܫܬܫܺܝܢ
imperfect,1CS,ܐܶܫܡܽܘܫ,ܐܶܫܬܡܶܫ,ܐܶܫܰܡܶܫ,ܐܶܫܬܰܡܰܫ,ܐܰܫܡܶܫ,ܐܶܬܫܰܬܡܰܫ
imperfect,3MP,ܢܶܫܡܫܽܘܢ,ܢܶܫܬܰܡܫܽܘܢ,ܢܫܰܡܫܽܘܢ,ܢܶܫܬܰܡܫܽܘܢ,ܢܰܫܡܫܽܘܢ,ܢܶܬܫܰܬܡܫܽܘܢ
imperfect,3FP,ܢܶܫ̈ܡܫܳܢ,ܢܶܫܬܰܡܫ̈ܳܢ,ܢܫܰܡܫ̈ܳܢ,ܢܶܫܬܰܡܫ̈ܳܢ,ܢܰܫܡܫ̈ܳܢ,ܢܶܬܫܰܬܡܫ̈ܳܢ
imperfect,2MP,ܬܶܫܡܫܽܘܢ,ܬܶܫܬܰܡܫܽܘܢ,ܬܫܰܡܫܽܘܢ,ܬܶܫܬܰܡܫܽܘܢ,ܬܰܫܡܫܽܘܢ,ܬܶܬܡܫܬܫܽܘܢ
imperfect,2FP,ܬܶܫ̈ܡܫܳܢ,ܬܶܫܬܰܡܫ̈ܳܢ,ܬܫܰܡܫ̈ܳܢ,ܬܶܫܬܰܡܫ̈ܳܢ,ܬܰܫܡܫ̈ܳܢ,ܬܶܬܡܫܬܫ̈ܳܢ
imperfect,1CP,ܢܶܫܡܽܘܫ,ܢܶܫܬܡܶܫ,ܢܫܰܡܶܫ,ܢܶܫܬܰܡܰܫ,ܢܰܫܡܶܫ,ܢܶܬܫܰܬܡܰܫ
imperative,MS,ܫܡܽܘܫ,ܐܶܫܬܰܡܫ,ܫܰܡܶܫ,ܐܶܫܬܰܡܰܫ,ܐܰܫܡܶܫ,ܐܶܬܫܰܬܡܰܫ
imperative,FS,ܫܡܽܘܫܝ,ܐܶܫܬܰܡܫܝ,ܫܰܡܶܫܝ,ܐܶܫܬܰܡܰܫܝ,ܐܰܫܡܶܫܝ,ܐܶܬܫܰܬܡܰܫܝ
