ܫܩܠ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܫܩܰܠ,´ܶܫܬܩܶܠ,ܫܰܩܶܠ,ܐܶܫܬܰܩܰܠ,ܐܰܫܩܶܠ,ܐܶܬܫܰܬܩܰܠ
perfect,3FS,ܫܶܩܠܰܬ,ܐܶܫܬܰܩܠܰܬ,ܫܰܩܠܰܬ,ܐܶܫܬܰܩܠܰܬ,ܐܰܫܩܠܰܬ,ܐܶܬܫܰܬܩܠܰܬ
perfect,2MS,ܫܩܰܠܬ,ܐܶܫܬܩܶܠܬ,ܫܰܩܶܠܬ,ܐܶܫܬܰܩܰܠܬ,ܐܰܫܩܶܠܬ,ܐܶܬܫܰܬܩܰܠܬ
perfect,2FS,ܫܩܰܠܬܝ,ܐܶܫܬܩܶܠܬܝ,ܫܰܩܶܠܬܝ,ܐܶܫܬܰܩܰܠܬܝ,ܐܰܫܩܶܠܬܝ,ܐܶܬܩܫܬܰܠܬܝ
perfect,1CS,ܫܶܩܠܶܬ,ܐܶܫܬܰܩܠܶܬ,ܫܰܩܠܶܬ,ܐܶܫܬܰܩܠܶܬ,ܐܰܫܩܠܶܬ,ܐܶܬܩܫܬܠܶܬ
perfect,3MP,ܫܩܰܠܘ,ܐܶܫܬܩܶܠܘ,ܫܰܩܶܠܘ,ܐܶܫܬܰܩܰܠܘ,ܐܰܫܩܶܠܘ,ܐܶܬܫܰܬܩܰܠܘ
perfect,3FP,ܫܩܰܠ̈ܝ,ܐܶܫܬܩܶܠ̈ܝ,ܫܰܩܶܠ̈ܝ,ܐܶܫܬܰܩܰܠ̈ܝ,ܐܰܫܩܶܠ̈ܝ,ܐܶܬܫܰܬܩܰܠ̈ܝ
perfect,2MP,ܫܩܰܠܬܽܘܢ,ܐܶܫܬܩܶܠܬܽܘܢ,ܫܰܩܶܠܬܽܘܢ,ܐܶܫܬܰܩܰܠܬܽܘܢ,ܐܰܫܩܶܠܬܽܘܢ,ܐܶܬܫܰܬܩܰܠܬܽܘܢ
perfect,2FP,ܫܩܰܠܬ̈ܶܝܢ,ܐܶܫܬܩܶܠ̈ܬܶܝܢ,ܫܰܩܶܠܬ̈ܶܝܢ,ܐܶܫܬܰܩܰܠ̈ܬܶܝܢ,ܐܰܫܩܶܠܬ̈ܶܝܢ,ܐܶܬܫܰܬܩܰܠ̈ܬܶܝܢ
