ܬܩܢ,,pʿal,ethpʿel,paʿʿel,ethpaʿʿal,aphʿel,ettaphʿal
perfect,3MS,ܬܩܶܢ,´ܶܬܬܩܶܢ,ܬܰܩܶܢ,ܐܶܬܬܰܩܰܢ,ܐܰܬܩܶܢ,ܐܶܬܬܰܬܩܰܢ
perfect,3FS,ܬܶܩܢܰܬ,ܐܶܬܬܰܩܢܰܬ,ܬܰܩܢܰܬ,ܐܶܬܬܰܩܢܰܬ,ܐܰܬܩܢܰܬ,ܐܶܬܬܰܬܩܢܰܬ
perfect,2MS,ܬܩܶܢܬ,ܐܶܬܬܩܶܢܬ,ܬܰܩܶܢܬ,ܐܶܬܬܰܩܰܢܬ,ܐܰܬܩܶܢܬ,ܐܶܬܬܰܬܩܰܢܬ
perfect,2FS,ܬܩܶܢܬܝ,ܐܶܬܬܩܶܢܬܝ,ܬܰܩܶܢܬܝ,ܐܶܬܬܰܩܰܢܬܝ,ܐܰܬܩܶܢܬܝ,ܐܶܬܰܬܩܰܢܬܝ
perfect,1CS,ܬܶܩܢܶܬ,ܐܶܬܬܰܩܢܶܬ,ܬܰܩܢܶܬ,ܐܶܬܬܰܩܢܶܬ,ܐܰܬܩܢܶܬ,ܐܶܬܰܬܩܢܶܬ
perfect,3MP,ܬܩܶܢܘ,ܐܶܬܬܩܶܢܘ,ܬܰܩܶܢܘ,ܐܶܬܬܰܩܰܢܘ,ܐܰܬܩܶܢܘ,ܐܶܬܬܰܬܩܰܢܘ
perfect,3FP,ܬܩܶܢ̈ܝ,ܐܶܬܬܩܶܢ̈ܝ,ܬܰܩܶܢ̈ܝ,ܐܶܬܬܰܩܰܢ̈ܝ,ܐܰܬܩܶܢ̈ܝ,ܐܶܬܬܰܬܩܰܢ̈ܝ
perfect,2MP,ܬܩܶܢܬܽܘܢ,ܐܶܬܬܩܶܢܬܽܘܢ,ܬܰܩܶܢܬܽܘܢ,ܐܶܬܬܰܩܰܢܬܽܘܢ,ܐܰܬܩܶܢܬܽܘܢ,ܐܶܬܬܰܬܩܰܢܬܽܘܢ
perfect,2FP,ܬܩܶܢܬ̈ܶܝܢ,ܐܶܬܬܩܶܢ̈ܬܶܝܢ,ܬܰܩܶܢܬ̈ܶܝܢ,ܐܶܬܬܰܩܰܢ̈ܬܶܝܢ,ܐܰܬܩܶܢܬ̈ܶܝܢ,ܐܶܬܬܰܬܩܰܢ̈ܬܶܝܢ
perfect,1CP,ܬܩܶܢܢ,ܐܶܬܬܩܶܢܢ,ܬܰܩܶܢܢ,ܐܶܬܬܰܩܰܢܢ,ܐܰܬܩܶܢܢ,ܐܶܬܬܰܬܩܰܢܢ
imperfect,3MS,ܢܶܬܩܰܢ,ܢܶܬܬܩܶܢ,ܢܬܰܩܶܢ,ܢܶܬܬܰܩܰܢ,ܢܰܬܩܶܢ,ܢܶܬܬܰܬܩܰܢ
imperfect,3FS,ܬܶܬܩܰܢ,ܬܶܬܬܩܶܢ,ܬܬܰܩܶܢ,ܬܶܬܬܰܩܰܢ,ܬܰܬܩܶܢ,ܬܶܬܰܬܩܰܢܝ
imperfect,2MS,ܬܶܬܩܰܢ,ܬܶܬܬܩܶܢ,ܬܬܰܩܶܢ,ܬܶܬܬܰܩܰܢ,ܬܰܬܩܶܢ,ܬܶܬܰܬܩܰܢ
imperfect,2FS,ܬܶܬܩܢܺܝܢ,ܬܶܬܬܰܩܢܺܝܢ,ܬܬܰܩܢܺܝܢ,ܬܶܬܬܰܩܢܺܝܢ,ܬܰܬܩܢܺܝܢ,ܬܶܬܰܬܩܢܺܝܢ
imperfect,1CS,ܐܶܬܩܰܢ,ܐܶܬܬܩܶܢ,ܐܶܬܰܩܶܢ,ܐܶܬܬܰܩܰܢ,ܐܰܬܩܶܢ,ܐܶܬܬܰܬܩܰܢ
imperfect,3MP,ܢܶܬܩܢܽܘܢ,ܢܶܬܬܰܩܢܽܘܢ,ܢܬܰܩܢܽܘܢ,ܢܶܬܬܰܩܢܽܘܢ,ܢܰܬܩܢܽܘܢ,ܢܶܬܬܰܬܩܢܽܘܢ
imperfect,3FP,ܢܶܬ̈ܩܢܳܢ,ܢܶܬܬܰܩܢ̈ܳܢ,ܢܬܰܩܢ̈ܳܢ,ܢܶܬܬܰܩܢ̈ܳܢ,ܢܰܬܩܢ̈ܳܢ,ܢܶܬܬܰܬܩܢ̈ܳܢ
imperfect,2MP,ܬܶܬܩܢܽܘܢ,ܬܶܬܬܰܩܢܽܘܢ,ܬܬܰܩܢܽܘܢ,ܬܶܬܬܰܩܢܽܘܢ,ܬܰܬܩܢܽܘܢ,ܬܶܬܰܬܩܢܽܘܢ
imperfect,2FP,ܬܶܬ̈ܩܢܳܢ,ܬܶܬܬܰܩܢ̈ܳܢ,ܬܬܰܩܢ̈ܳܢ,ܬܶܬܬܰܩܢ̈ܳܢ,ܬܰܬܩܢ̈ܳܢ,ܬܶܬܰܬܩܢ̈ܳܢ
imperfect,1CP,ܢܶܬܩܰܢ,ܢܶܬܬܩܶܢ,ܢܬܰܩܶܢ,ܢܶܬܬܰܩܰܢ,ܢܰܬܩܶܢ,ܢܶܬܬܰܬܩܰܢ
imperative,MS,ܬܩܰܢ,ܐܶܬܬܰܩܢ,ܬܰܩܶܢ,ܐܶܬܬܰܩܰܢ,ܐܰܬܩܶܢ,ܐܶܬܬܰܬܩܰܢ
imperative,FS,ܬܩܰܢܝ,ܐܶܬܬܰܩܢܝ,ܬܰܩܶܢܝ,ܐܶܬܬܰܩܰܢܝ,ܐܰܬܩܶܢܝ,ܐܶܬܬܰܬܩܰܢܝ
imperative,MP,ܬܩܰܢܘ,ܐܶܬܬܰܩܢܘ,ܬܰܩܶܢܘ,ܐܶܬܬܰܩܰܢܘ,ܐܰܬܩܶܢܘ,ܐܶܬܬܰܬܩܰܢܘ
imperative,FP,ܬܩܰܢ̈ܝ,ܐܶܬܬܰܩܢ̈ܝ,ܬܰܩܶܢ̈ܝ,ܐܶܬܬܰܩܰܢ̈ܝ,ܐܰܬܩܶܢ̈ܝ,ܐܶܬܬܰܬܩܰܢ̈ܝ
active-participle,MS,ܬܳܩܶܢ,ܡܶܬܬܩܶܢ,ܡܬܰܩܶܢ,ܡܶܬܬܰܩܰܢ,ܡܰܬܩܶܢ,ܡܶܬܬܰܬܩܰܢ
active-participle,FS,ܬܳܩܢܳܐ,ܡܶܬܬܰܩܢܳܐ,ܡܬܰܩܢܳܐ,ܡܶܬܬܰܩܢܳܐ,ܡܰܬܩܢܳܐ,ܡܶܬܬܰܬܩܢܳܐ
active-participle,MP,ܬܳܩܢܺܝܢ,ܡܶܬܬܰܩܢܺܝܢ,ܡܬܰܩܢܺܝܢ,ܡܶܬܬܰܩܢܺܝܢ,ܡܰܬܩܢܺܝܢ,ܡܶܬܬܰܬܩܢܺܝܢ
active-participle,FP,ܬܳܩ̈ܢܳܢ,ܡܶܬܬܰܩ̈ܢܳܢ,ܡܬܰܩ̈ܢܳܢ,ܡܶܬܬܰܩܢ̈ܳܢ,ܡܰܬܩܢ̈ܳܢ,ܡܶܬܬܰܬܩܢ̈ܳܢ
passive-participle,MS,ܬܩܺܝܢ,,ܡܬܰܩܰܢ,,ܡܰܬܩܰܢ,
